Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
543,Luca Ricci\Luca-Ricci,ca CAN,MF,Montreal,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
544,Spencer Richey\Spencer-Richey,us USA,GK,FC Cincinnati,26,1992,19,1710,90,55.9,19.0,19,90,19,0,,3,0.89,20,45,-25,-1.32,-0.05,19.3,36.1,-16.8,-0.88,-0.25,Matches
545,Tosaint Ricketts\Tosaint-Ricketts,ca CAN,FW,Vancouver,31,1987,8,479,60,15.7,5.3,6,73,1,2,21,0,1.25,6,11,-5,-0.94,-0.35,7.7,8.9,-1.1,-0.21,+0.66,Matches
546,Nick Rimando\Nick-Rimando,us USA,GK,Real Salt Lake,39,1979,29,2610,90,85.3,29.0,29,90,29,0,,0,1.58,38,35,+3,+0.10,-0.30,28.7,33.5,-4.8,-0.17,-0.35,Matches
547,Alexander Ring\Alexander-Ring,fi FIN,MF,NYCFC,27,1991,31,2790,90,91.2,31.0,31,90,31,0,,0,1.81,58,38,+20,+0.65,+0.31,46.7,42.3,+4.3,+0.14,-0.79,Matches
548,Andrés Ríos\Andres-Rios,ar ARG,MFFW,San Jose,29,1989,10,270,27,8.8,3.0,1,77,0,9,21,0,0.60,1,9,-8,-2.67,-2.83,5.1,7.7,-2.7,-0.89,-1.14,Matches
549,Thomas Roberts\Thomas-Roberts,us USA,MFFW,FC Dallas,17,2001,6,237,40,7.7,2.6,3,68,0,3,11,9,1.17,7,3,+4,+1.52,+1.39,1.8,2.6,-0.8,-0.32,-0.53,Matches
550,Robinho\Robinho,br BRA,FW,Orlando City,24,1995,6,234,39,7.6,2.6,3,68,1,3,10,2,0.67,1,1,0,0.00,+0.25,1.5,2.7,-1.2,-0.47,-0.54,Matches
551,Robinho\Robinho,br BRA,FW,Columbus,24,1995,19,1112,59,36.3,12.4,13,77,4,6,19,1,0.89,11,18,-7,-0.57,-0.52,12.3,13.3,-1.0,-0.08,+0.08,Matches
552,Jalen Robinson\Jalen-Robinson,us USA,DF,D.C. United,24,1994,10,414,41,13.5,4.6,5,76,3,5,6,18,1.90,7,6,+1,+0.22,+0.12,3.9,9.1,-5.2,-1.14,-0.96,Matches
553,Miles Robinson\Miles-Robinson,us USA,DF,Atlanta,21,1997,34,2979,88,97.4,33.1,33,90,33,1,8,0,1.71,57,43,+14,+0.42,-0.69,54.9,42.2,+12.7,+0.38,-1.36,Matches
554,Luis Robles\Luis-Robles,us USA,GK,NY Red Bulls,34,1984,33,2970,90,97.1,33.0,33,90,33,0,,0,1.32,50,50,0,0.00,-2.00,48.6,48.6,+0.1,0.00,+0.06,Matches
555,Tony Rocha\Tony-Rocha,bz BLZ,MFDF,NYCFC,25,1993,17,876,52,28.6,9.7,9,82,6,8,18,12,2.12,20,12,+8,+0.82,+0.29,15.3,13.0,+2.3,+0.24,+0.03,Matches
556,Angelo Rodríguez\Angelo-Rodriguez,co COL,FW,Minnesota,29,1989,28,1745,62,57.0,19.4,21,76,8,7,22,1,1.45,28,27,+1,+0.05,-0.50,31.5,22.4,+9.1,+0.47,+0.53,Matches
557,Brian Rodríguez\Brian-Rodriguez,uy URU,FW,Los Angeles FC,18,2000,7,384,55,12.5,4.3,5,66,1,2,27,0,1.44,6,6,0,0.00,-1.61,8.5,3.9,+4.6,+1.07,-0.15,Matches
558,Lucas Rodríguez\Lucas-Rodriguez,ar ARG,FWMF,D.C. United,21,1997,33,2699,82,88.2,30.0,31,86,20,2,23,1,1.44,39,34,+5,+0.17,+0.42,35.5,42.4,-6.9,-0.23,+0.64,Matches
559,Memo Rodriguez\Memo-Rodriguez,us USA,FWMF,Houston,23,1995,26,1387,53,45.3,15.4,16,71,2,10,25,0,1.31,27,20,+7,+0.45,+1.37,23.8,22.7,+1.1,+0.07,+0.30,Matches
560,Víctor Rodríguez\Victor-Rodriguez,es ESP,FWMF,Seattle,29,1989,17,1117,66,36.5,12.4,14,74,2,3,28,1,2.00,21,21,0,0.00,-0.14,18.4,16.0,+2.4,+0.20,+0.20,Matches
561,Alex Roldan\Alex-Roldan,us USA,FWMF,Seattle,22,1996,9,443,49,14.5,4.9,5,82,2,4,9,12,1.00,3,9,-6,-1.22,-1.53,3.9,8.9,-5.0,-1.02,-1.28,Matches
562,Cristian Roldan\Cristian-Roldan,us USA,MFFW,Seattle,23,1995,29,2537,87,82.9,28.2,29,87,28,0,,0,1.88,48,41,+7,+0.25,+0.94,43.4,35.1,+8.3,+0.29,+1.30,Matches
563,David Romney\David-Romney,us USA,DF,LA Galaxy,25,1993,12,928,77,30.3,10.3,10,88,9,2,23,19,1.57,21,18,+3,+0.29,+0.46,18.6,18.6,0.0,0.00,+0.26,Matches
564,Eloy Room\Eloy-Room,cw CUW,GK,Columbus,29,1989,12,1080,90,35.3,12.0,12,90,12,0,,0,1.67,20,14,+6,+0.50,+1.14,16.4,16.5,-0.2,-0.01,+0.18,Matches
565,Wayne Rooney\Wayne-Rooney,eng ENG,FW,D.C. United,33,1985,28,2313,83,75.6,25.7,27,84,18,1,42,0,1.45,35,30,+5,+0.19,+0.32,28.6,35.6,-6.9,-0.27,+0.14,Matches
566,Andy Rose\Andy-Rose,au AUS,MFDF,Vancouver,28,1990,24,1851,77,60.5,20.6,20,89,18,4,18,4,1.13,25,42,-17,-0.83,-0.45,21.3,38.2,-16.9,-0.82,-0.14,Matches
567,Oriol Rosell\Oriol-Rosell,es ESP,MF,Orlando City,26,1992,20,1466,73,47.9,16.3,16,86,13,4,24,9,1.30,20,26,-6,-0.37,-0.26,17.6,21.2,-3.5,-0.22,-0.48,Matches
568,Keegan Rosenberry\Keegan-Rosenberry,us USA,DF,Colorado,25,1993,34,3060,90,100.0,34.0,34,90,34,0,,0,1.24,58,63,-5,-0.15,,51.1,56.9,-5.8,-0.17,,Matches
569,Diego Rossi\Diego-Rossi,uy URU,FW,Los Angeles FC,20,1998,34,2891,85,94.5,32.1,33,87,21,1,35,0,2.08,77,36,+41,+1.28,-2.45,71.2,32.5,+38.7,+1.21,+0.10,Matches
570,Brian Rowe\Brian-Rowe,us USA,GK,Orlando City,30,1988,32,2880,90,94.1,32.0,32,90,32,0,,1,1.13,42,49,-7,-0.22,+0.28,42.9,39.3,+3.5,+0.11,+1.32,Matches
571,Kelyn Rowe\Kelyn-Rowe,us USA,MF,Real Salt Lake,27,1991,4,181,45,5.9,2.0,2,85,1,2,6,4,2.00,0,1,-1,-0.50,-0.68,1.2,1.9,-0.7,-0.36,-0.26,Matches
572,Kelyn Rowe\Kelyn-Rowe,us USA,FWMF,Sporting KC,27,1991,14,693,50,22.6,7.7,7,79,3,7,20,5,1.07,15,14,+1,+0.13,+0.85,15.0,10.9,+4.1,+0.54,+0.44,Matches
573,Daniel Royer\Daniel-Royer,at AUT,FW,NY Red Bulls,28,1990,31,2314,75,75.6,25.7,26,83,13,5,31,0,1.28,41,40,+1,+0.04,-0.08,38.4,34.5,+3.8,+0.15,+0.61,Matches
574,Ruan\Ruan,br BRA,DF,Orlando City,23,1995,25,2097,84,68.5,23.3,23,90,21,2,18,2,1.08,32,38,-6,-0.26,-0.07,33.4,26.9,+6.5,+0.28,+0.79,Matches
575,Diego Rubio\Diego-Rubio,cl CHI,MFFW,Colorado,25,1993,26,2054,79,67.1,22.8,25,81,11,1,22,0,1.15,41,44,-3,-0.13,+0.05,32.7,36.5,-3.8,-0.17,+0.01,Matches
576,Raúl Ruidíaz\Raul-Ruidiaz,pe PER,FW,Seattle,28,1990,22,1793,82,58.6,19.9,20,89,15,2,8,0,1.96,35,28,+7,+0.35,+0.64,34.6,24.2,+10.4,+0.52,+1.09,Matches
577,Pablo Ruíz\Pablo-Ruiz,ar ARG,MF,Real Salt Lake,20,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
578,Albert Rusnák\Albert-Rusnak,sk SVK,MFFW,Real Salt Lake,24,1994,29,2450,84,80.1,27.2,28,87,20,1,21,0,1.65,41,34,+7,+0.26,+0.55,29.9,33.3,-3.4,-0.12,-0.05,Matches
579,Johnny Russell\Johnny-Russell,sco SCO,FWMF,Sporting KC,28,1990,28,2113,75,69.1,23.5,24,86,18,4,14,0,1.18,37,48,-11,-0.47,+0.20,43.3,34.8,+8.4,+0.36,+0.53,Matches
580,Abdul Rwatubyaye\Abdul-Rwatubyaye,rw RWA,DF,Sporting KC,22,1996,2,165,83,5.4,1.8,1,90,0,1,75,4,0.50,5,6,-1,-0.55,-0.02,5.9,3.2,+2.7,+1.45,+1.33,Matches
581,Marc Rzatkowski\Marc-Rzatkowski,de GER,MFFW,NY Red Bulls,28,1990,28,2315,83,75.7,25.7,26,87,20,2,31,1,1.48,43,32,+11,+0.43,+1.51,40.7,35.0,+5.7,+0.22,+0.91,Matches
582,Bacary Sagna\Bacary-Sagna,fr FRA,DF,Montreal,35,1983,26,2179,84,71.2,24.2,25,86,23,1,19,3,1.04,33,47,-14,-0.58,-0.68,27.4,39.9,-12.5,-0.52,-0.61,Matches
583,Kenny Saief\Kenny-Saief,us USA,FWMF,FC Cincinnati,25,1993,9,566,63,18.5,6.3,6,82,3,3,24,1,0.56,4,9,-5,-0.80,+0.61,6.8,10.3,-3.4,-0.55,+0.28,Matches
584,Michael Salazar\Michael-Salazar,bz BLZ,FWMF,Houston,26,1992,7,159,23,5.2,1.8,1,51,0,6,18,1,0.43,4,3,+1,+0.57,+0.91,1.7,3.9,-2.1,-1.20,-1.17,Matches
585,Shea Salinas\Shea-Salinas,us USA,MFDF,San Jose,32,1986,28,1345,48,44.0,14.9,12,82,6,16,23,3,1.32,24,26,-2,-0.13,-0.08,26.1,22.9,+3.2,+0.21,+0.11,Matches
586,Dániel Sallói\Daniel-Salloi,hu HUN,FWMF,Sporting KC,22,1996,28,1545,55,50.5,17.2,16,79,8,12,23,0,1.04,21,33,-12,-0.70,-0.34,26.8,25.2,+1.6,+0.09,-0.21,Matches
