Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
311,Dejan Jakovic\Dejan-Jakovic,ca CAN,DF,Los Angeles FC,34,1985,16,1075,67,54.3,11.9,1.01,77,,0.34,37,0.50,1.22,2.10,2.27,-0.17,-0.17,-1.16,1.60,1.69,-0.09,-0.09,-1.44,Matches
312,Robin Jansson\Robin-Jansson,se SWE,DF,Orlando City,28,1991,22,1980,90,95.7,22.0,1.00,90,,0.00,,0.00,1.79,1.73,1.09,0.64,+0.64,-0.36,1.42,1.13,0.29,+0.29,+0.34,Matches
313,Franco Jara\Franco-Jara,ar ARG,FW,FC Dallas,31,1988,19,1380,73,69.7,15.3,1.05,81,,0.20,31,0.00,1.43,1.24,0.92,0.33,+0.33,+0.48,1.52,1.47,0.05,+0.04,-0.05,Matches
314,David Jensen\David-Jensen,dk DEN,GK,NY Red Bulls,27,1992,11,929,84,44.9,10.3,0.97,90,,0.10,29,1.17,1.45,1.46,1.46,0.00,0.00,+0.16,1.58,1.49,0.09,+0.09,+0.63,Matches
315,Hector Jiménez\Hector-Jimenez,us USA,DF,Columbus,31,1988,8,375,47,18.1,4.2,0.95,77,,0.95,17,2.14,1.80,2.14,0.71,1.43,+1.44,+0.96,1.55,1.17,0.36,+0.37,+0.40,Matches
316,Sam Johnson\Sam-Johnson,lr LBR,FW,Real Salt Lake,26,1993,10,335,34,16.9,3.7,0.81,67,,1.89,19,0.81,0.70,1.08,2.70,-1.62,-1.61,-1.39,0.70,1.73,-1.03,-1.02,-1.10,Matches
317,Sean Johnson\Sean-Johnson,us USA,GK,NYCFC,30,1989,23,2070,90,100.0,23.0,1.00,90,,0.00,,0.00,1.62,1.61,1.09,0.52,+0.52,,1.65,1.23,0.42,+0.42,,Matches
318,Alistair Johnston\Alistair-Johnston,ca CAN,DF,Nashville,21,1998,18,1365,76,65.9,15.2,0.99,84,,0.20,34,0.13,1.62,1.12,0.86,0.26,+0.26,+0.52,1.13,1.26,-0.13,-0.13,-0.20,Matches
319,Alvin Jones\Alvin-Jones,tt TRI,DF,Real Salt Lake,25,1994,0,,,,,0,,,0,,6,0.00,,,,,,,,,,,Matches
320,DeJuan Jones\DeJuan-Jones,us USA,DF,New England,22,1997,18,1134,63,54.8,12.6,1.03,79,,0.40,21,0.32,1.57,1.11,0.87,0.24,+0.24,+0.43,1.61,1.02,0.58,+0.58,+0.70,Matches
321,Derrick Jones\Derrick-Jones,us USA,MFFW,Nashville,22,1997,18,909,51,43.9,10.1,0.89,75,,0.89,26,0.50,1.62,0.89,0.89,0.00,0.00,-0.16,0.93,1.33,-0.40,-0.40,-0.60,Matches
322,Joevin Jones\Joevin-Jones,tt TRI,FWDF,Seattle,28,1991,13,824,63,41.6,9.2,1.09,75,,0.33,24,0.00,1.89,2.28,0.87,1.41,+1.42,+0.80,2.11,0.95,1.16,+1.17,+0.38,Matches
323,Siem de Jong\Siem-de-Jong,nl NED,MFFW,FC Cincinnati,31,1989,15,794,53,38.4,8.8,0.91,70,,0.80,33,0.00,0.56,0.23,1.48,-1.25,-1.25,-0.33,0.88,1.43,-0.56,-0.56,-0.33,Matches
324,Judson\Judson,br BRA,MF,San Jose,26,1993,21,1696,81,81.9,18.8,1.06,83,,0.05,33,0.11,1.33,1.17,2.29,-1.12,-1.11,-2.32,1.29,1.62,-0.33,-0.33,-0.67,Matches
325,Florian Jungwirth\Florian-Jungwirth,de GER,DF,San Jose,31,1989,19,1610,85,77.8,17.9,1.01,88,,0.06,27,0.17,1.38,1.51,1.96,-0.45,-0.45,+1.12,1.39,1.50,-0.11,-0.11,+0.43,Matches
326,Sam Junqua\Sam-Junqua,us USA,DFFW,Houston,23,1996,9,256,28,12.4,2.8,0.71,90,,2.50,11,3.57,0.78,2.14,0.71,1.43,+1.41,+2.10,2.21,1.25,0.96,+0.94,+1.15,Matches
327,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,FW,NY Red Bulls,19,2000,8,269,34,13.0,3.0,0.67,68,,2.00,22,1.33,1.25,1.33,1.67,-0.33,-0.33,-0.28,1.17,1.23,-0.07,-0.07,+0.21,Matches
328,Kaku\Kaku,py PAR,MF,NY Red Bulls,25,1995,16,1082,68,52.3,12.0,1.08,76,,0.25,32,0.17,1.18,1.25,1.50,-0.25,-0.25,-0.34,1.17,1.47,-0.30,-0.30,-0.09,Matches
