Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,17.5,59.2,1.54,13.8,32.6,16.9,1.43,56.9,1.09,2.34,46.3,1.31,0.11,38.8,192.4,107.5,3.77,1.31,0.06,2.29,1.77,49.9,42.2,84.6,4.69,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,0.5,74.0,6.00,14.0,22.0,44.0,4.00,70.0,6.00,12.0,50.0,6.00,0.00,46.0,336.0,256.0,10.0,6.00,0.00,2.00,4.00,56.0,38.0,67.9,6.00,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,0.2,195.0,20.0,90.0,95.0,20.0,0.00,195.0,5.00,5.00,100.0,5.00,0.00,170.0,675.0,195.0,5.00,5.00,0.00,0.00,0.00,175.0,170.0,97.1,0.00,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,39.0,34.0,39.0,0.00,0.00,0.00,32.0,0.00,0.00,,0.00,0.00,23.0,101.0,55.0,0.00,0.00,0.00,0.00,0.00,19.0,19.0,100.0,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,14.7,101.9,2.52,18.9,59.7,29.0,1.43,96.7,1.70,2.86,59.5,1.70,0.07,73.1,336.1,166.7,8.30,2.38,0.20,1.36,2.93,77.3,73.3,94.8,4.56,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,16.6,82.8,3.07,22.5,41.6,23.7,1.93,73.3,0.72,1.45,50.0,0.72,0.06,53.4,220.6,122.5,5.30,1.63,0.24,0.72,0.84,58.5,54.5,93.1,2.77,Matches
46,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,32,1987,1.4,66.4,6.43,19.3,39.3,10.0,2.14,64.3,1.43,1.43,100.0,1.43,0.00,45.0,195.7,83.6,1.43,0.71,0.00,0.71,1.43,40.7,40.0,98.2,0.00,Matches
47,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,27,1992,8.3,28.1,0.96,2.29,11.0,16.4,4.10,27.1,0.48,1.08,44.4,0.48,0.00,18.9,115.3,65.4,3.49,0.84,0.48,3.13,1.20,37.0,21.6,58.3,9.04,Matches
48,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,19,2000,3.3,64.2,3.64,25.8,30.0,10.9,0.91,55.5,0.61,1.21,50.0,0.61,0.00,37.6,167.3,89.7,4.24,1.52,0.00,0.61,0.91,40.6,37.3,91.8,1.21,Matches
49,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,20,1999,4.9,27.3,1.02,5.71,12.2,10.6,2.86,27.1,0.82,1.02,80.0,0.82,0.00,15.7,69.4,31.2,1.43,0.61,0.61,2.65,1.02,35.7,20.4,57.1,4.29,Matches
