Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
244,Brad Guzan\Brad-Guzan,us USA,GK,Atlanta,35,1984,23.0,32.3,40.4,79.8,987.1,551.7,3.83,3.96,96.7,14.8,15.0,98.8,13.4,21.2,63.1,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,Matches
245,Joe Gyau\Joe-Gyau,us USA,FWDF,FC Cincinnati,27,1992,19.9,28.4,34.9,81.4,433.4,89.6,15.7,17.7,88.6,10.9,13.1,83.1,1.26,2.31,54.3,0.00,0.07,-0.07,0.80,1.21,0.50,0.25,1.81,Matches
246,Nick Hagglund\Nick-Hagglund,us USA,DF,FC Cincinnati,27,1992,8.3,49.2,58.9,83.4,1106.7,381.9,12.7,14.5,87.5,27.0,29.6,91.1,9.28,14.2,65.3,0.00,0.02,-0.02,0.36,2.41,0.48,0.12,2.29,Matches
247,Marlon Hairston\Marlon-Hairston,us USA,MFDF,Minnesota,25,1994,4.5,38.2,44.7,85.6,583.1,157.3,21.8,24.7,88.3,11.6,12.7,91.2,3.11,4.00,77.8,0.00,0.04,-0.04,0.67,1.78,0.22,0.00,2.67,Matches
248,Siad Haji\Siad-Haji,us USA,MF,San Jose,20,1999,0.6,66.7,71.7,93.0,1308.3,286.7,28.3,28.3,100.0,25.0,25.0,100.0,13.3,15.0,88.9,0.00,0.17,-0.17,3.33,1.67,0.00,0.00,11.7,Matches
249,Bill Hamid\Bill-Hamid,us USA,GK,D.C. United,29,1990,17.0,19.3,28.5,67.8,563.5,362.8,2.71,2.71,100.0,8.76,8.88,98.7,7.76,16.8,46.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
250,Jordan Hamilton\Jordan-Hamilton,ca CAN,FWDF,Columbus,23,1996,0.2,20.0,35.0,57.1,205.0,45.0,10.0,15.0,66.7,5.00,15.0,33.3,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
251,Niko Hansen\Niko-Hansen,dk DEN,FWMF,Houston,25,1994,8.0,20.6,28.8,71.7,342.1,86.9,11.0,13.8,80.0,7.38,10.4,71.1,1.88,2.88,65.2,0.13,0.16,-0.04,1.00,0.75,1.13,0.38,3.00,Matches
252,Carlos Harvey\Carlos-Harvey,pa PAN,MFFW,LA Galaxy,19,2000,1.2,31.7,35.8,88.4,594.2,115.8,12.5,14.2,88.2,13.3,15.0,88.9,3.33,4.17,80.0,0.00,0.00,0.00,0.83,3.33,0.00,0.00,0.83,Matches
253,Jordan Harvey\Jordan-Harvey,us USA,DF,Los Angeles FC,36,1984,8.4,47.5,58.3,81.4,877.5,302.7,20.1,21.0,96.0,22.6,26.9,84.1,4.40,8.81,50.0,0.00,0.04,-0.04,0.60,4.64,0.48,0.24,4.40,Matches
