Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
389,Jonathan Mensah\Jonathan-Mensah,gh GHA,DF,Columbus,29,1990,23.0,0.00,0.39,0.13,33.3,0.39,0.13,0.00,0.00,11.7,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
390,Justin Meram\Justin-Meram,iq IRQ,FWMF,Real Salt Lake,31,1988,12.7,0.24,1.34,0.63,47.1,1.34,0.63,0.18,0.38,15.3,0.00,0.00,0.00,0.14,0.14,0.10,0.09,0.09,Matches
391,Bryan Meredith\Bryan-Meredith,us USA,GK,Vancouver,30,1989,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
392,Romain Métanire\Romain-Metanire,mg MAD,DF,Minnesota,29,1990,19.8,0.00,0.30,0.10,33.3,0.30,0.10,0.00,0.00,26.4,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
393,Patrick Metcalfe\Patrick-Metcalfe,ca CAN,MF,Vancouver,21,1998,2.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
394,Fernando Meza\Fernando-Meza,ar ARG,DF,Atlanta,29,1990,11.9,0.00,0.25,0.08,33.3,0.25,0.08,0.00,0.00,8.0,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
395,Nicolás Mezquida\Nicolas-Mezquida,uy URU,MFFW,Colorado,28,1992,5.3,0.19,3.40,1.32,38.9,3.41,1.33,0.06,0.14,19.8,0.19,0.00,0.00,0.47,0.47,0.14,-0.28,-0.28,Matches
396,Benji Michel\Benji-Michel,us USA,FWMF,Orlando City,22,1997,9.4,0.53,1.49,1.06,71.4,1.50,1.07,0.36,0.50,13.8,0.00,0.00,0.00,0.35,0.35,0.23,0.18,0.18,Matches
397,Djordje Mihailovic\Djordje-Mihailovic,us USA,MFFW,Chicago,21,1998,13.0,0.15,2.00,0.54,26.9,2.01,0.54,0.08,0.29,18.5,0.15,0.00,0.00,0.30,0.30,0.15,-0.15,-0.15,Matches
398,Manuel Milinković\Manuel-Milinkovic,rs SRB,MFFW,Vancouver,25,1994,10.0,0.10,0.80,0.30,37.5,0.80,0.30,0.13,0.33,17.6,0.10,0.00,0.00,0.10,0.10,0.12,0.00,0.00,Matches
399,Eric Miller\Eric-Miller,us USA,DF,Nashville,27,1993,4.8,0.00,0.21,0.00,0.0,0.21,0.00,0.00,,5.0,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
