Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
31,Ryan Meara\Ryan-Meara,us USA,GK,NY Red Bulls,29,1990,12.7,1.26,0.24,0.00,0.16,0.00,1.32,0.29,0.06,+0.07,4.80,14.3,33.7,18.7,4.57,52.7,40.1,6.46,68.3,51.3,7.87,0.71,9.0,1.02,1.03,1.22,Matches
32,Phelipe Megiolaro\Phelipe-Megiolaro,br BRA,GK,FC Dallas,20,1999,1.0,3.00,0.00,0.00,0.00,0.00,3.60,0.46,0.60,+0.64,2.00,8.00,25.0,13.0,2.00,53.8,46.2,8.00,12.5,23.0,6.00,0.00,0.0,0.00,0.00,8.80,Matches
33,Tim Melia\Tim-Melia,us USA,GK,Sporting KC,33,1986,19.8,1.06,0.00,0.00,0.20,0.05,1.02,0.25,0.01,+0.01,5.30,13.6,39.0,22.9,3.64,43.6,39.2,6.77,53.0,45.1,6.21,0.15,2.4,0.76,0.76,0.76,Matches
34,Bryan Meredith\Bryan-Meredith,us USA,GK,Vancouver,30,1989,3.0,3.33,0.00,0.00,1.00,1.00,2.17,0.24,-0.17,-0.18,6.33,12.0,52.8,20.3,6.00,39.3,36.8,8.67,46.2,38.0,14.0,1.67,11.9,0.00,0.00,3.60,Matches
35,Tyler Miller\Tyler-Miller,us USA,GK,Minnesota,26,1993,5.0,1.20,0.40,0.00,0.20,0.00,1.12,0.23,-0.08,-0.07,7.80,17.2,45.3,20.8,4.20,52.9,46.0,8.20,75.6,58.4,11.8,2.80,23.7,0.40,0.40,2.50,Matches
36,David Ochoa\David-Ochoa,us USA,GK,Real Salt Lake,19,2001,1.0,2.00,0.00,0.00,1.00,0.00,1.00,0.17,-1.00,-1.00,5.00,26.0,19.2,32.0,3.00,59.4,42.2,8.00,87.5,52.1,6.00,0.00,0.0,1.00,1.00,14.3,Matches
37,James Pantemis\James-Pantemis,ca CAN,GK,Montreal,22,1997,3.0,2.33,0.00,0.00,0.67,0.00,2.93,0.36,0.60,+0.61,4.00,10.0,40.0,29.7,3.67,21.3,28.7,6.00,61.1,48.4,12.0,1.67,13.9,0.33,0.33,4.30,Matches
38,Andrew Putna\Andrew-Putna,us USA,GK,Real Salt Lake,25,1994,15.0,1.73,0.07,0.00,0.20,0.13,1.37,0.32,-0.23,-0.23,5.73,20.3,28.2,25.2,2.87,58.2,46.6,7.07,80.2,60.1,7.53,0.27,3.5,0.47,0.47,0.88,Matches
39,Greg Ranjitsingh\Greg-Ranjitsingh,tt TRI,GK,Minnesota,26,1993,3.0,2.67,0.33,0.00,0.33,0.33,2.10,0.27,-0.23,-0.23,3.67,10.0,36.7,24.7,7.67,24.3,30.9,6.67,60.0,46.0,7.67,0.00,0.0,0.67,0.67,5.10,Matches
40,Spencer Richey\Spencer-Richey,us USA,GK,FC Cincinnati,27,1992,9.1,1.65,0.11,0.11,0.33,0.00,1.29,0.32,-0.36,-0.36,7.03,13.4,52.5,23.5,5.60,39.3,33.4,8.57,48.7,39.3,5.38,0.22,4.1,0.55,0.55,1.53,Matches
41,Luis Robles\Luis-Robles,us USA,GK,Miami,35,1984,15.0,1.67,0.13,0.00,0.00,0.07,1.40,0.34,-0.20,-0.20,4.93,11.0,44.8,19.1,3.73,46.2,38.4,5.13,42.9,34.7,6.60,0.47,7.1,0.87,0.87,1.00,Matches
42,Eloy Room\Eloy-Room,cw CUW,GK,Columbus,30,1989,16.8,0.89,0.24,0.00,0.00,0.00,0.99,0.25,0.10,+0.10,5.24,11.4,45.8,19.5,3.10,35.5,33.7,7.26,62.3,47.0,9.23,0.48,5.2,0.30,0.30,0.74,Matches
43,Brian Rowe\Brian-Rowe,us USA,GK,Orlando City,31,1988,4.0,1.25,0.00,0.00,0.50,0.00,1.18,0.27,-0.07,-0.06,4.00,9.50,42.1,19.8,7.50,27.8,33.2,8.75,45.7,37.3,11.5,0.50,4.3,0.25,0.25,3.33,Matches
44,Richard Sánchez\Richard-Sanchez,mx MEX,GK,Sporting KC,25,1994,1.2,3.33,0.00,0.00,0.00,0.83,1.50,0.36,-1.00,-1.05,3.33,6.67,50.0,21.7,4.17,19.2,24.6,5.00,50.0,45.3,7.50,1.67,22.2,4.17,4.29,21.7,Matches
45,Chris Seitz\Chris-Seitz,us USA,GK,D.C. United,32,1987,6.0,1.50,0.00,0.00,0.17,0.00,1.52,0.28,0.02,+0.02,4.83,14.3,33.7,20.7,5.50,38.7,35.5,8.83,71.7,48.6,9.67,0.50,5.2,0.50,0.50,2.12,Matches
46,Bobby Shuttleworth\Bobby-Shuttleworth,us USA,GK,Chicago,32,1987,17.0,1.65,0.06,0.00,0.24,0.06,1.61,0.34,0.02,+0.02,3.76,9.12,41.3,25.3,4.53,23.3,29.5,6.82,47.4,40.9,7.82,0.41,5.3,0.18,0.18,0.72,Matches
47,Pablo Sisniega\Pablo-Sisniega,mx MEX,GK,Los Angeles FC,24,1995,14.0,1.64,0.29,0.07,0.21,0.14,1.44,0.32,-0.06,-0.06,3.29,10.3,31.9,19.0,5.00,38.7,34.5,5.79,50.6,42.4,7.43,0.43,5.8,1.07,1.07,1.19,Matches
48,Connor Sparrow\Connor-Sparrow,us USA,GK,Chicago,25,1994,1.0,3.00,0.00,0.00,1.00,0.00,2.80,0.40,-0.20,-0.24,2.00,16.0,12.5,22.0,4.00,40.9,36.6,8.00,87.5,62.1,2.00,1.00,50.0,2.00,2.00,24.5,Matches
49,Dayne St. Clair\Dayne-St-Clair,ca CAN,GK,Minnesota,22,1997,13.0,1.00,0.00,0.00,0.08,0.00,1.09,0.23,0.17,+0.17,5.62,18.7,30.0,21.5,3.08,57.9,42.9,8.15,76.4,53.0,8.38,0.31,3.7,0.62,0.62,1.07,Matches
50,Andrew Tarbell\Andrew-Tarbell,us USA,GK,Columbus,26,1993,6.2,0.97,0.32,0.00,0.16,0.00,0.98,0.20,0.02,+0.01,6.13,16.6,36.9,22.3,4.84,44.2,39.1,8.87,76.4,51.9,7.90,0.48,6.1,0.65,0.64,2.32,Matches
51,Matt Turner\Matt-Turner,us USA,GK,New England,25,1994,22.0,1.09,0.05,0.00,0.36,0.09,1.37,0.31,0.37,+0.37,6.50,15.5,41.8,25.1,5.18,44.7,39.6,6.82,63.3,50.0,6.18,0.36,5.9,0.77,0.77,0.68,Matches
52,Przemysław Tytoń\Przemyslaw-Tyton,pl POL,GK,FC Cincinnati,33,1987,11.9,1.60,0.08,0.08,0.08,0.00,1.24,0.30,-0.28,-0.28,6.64,13.9,47.9,23.0,3.19,44.2,37.9,9.33,39.6,36.5,8.66,0.42,4.9,0.25,0.25,0.97,Matches
53,Kenneth Vermeer\Kenneth-Vermeer,nl NED,GK,Los Angeles FC,34,1986,8.0,2.00,0.00,0.13,0.13,0.13,1.61,0.38,-0.26,-0.26,3.50,7.75,45.2,18.3,4.25,31.5,33.6,4.25,47.1,44.9,6.13,0.13,2.0,2.13,2.13,2.48,Matches
54,Quentin Westberg\Quentin-Westberg,us USA,GK,Toronto FC,33,1986,20.0,1.30,0.10,0.05,0.15,0.05,1.23,0.32,-0.02,-0.02,6.85,14.1,48.8,30.3,3.85,34.9,33.3,7.30,47.9,37.5,7.85,0.45,5.7,1.30,1.30,0.80,Matches
55,Joe Willis\Joe-Willis,us USA,GK,Nashville,31,1988,23.0,0.96,0.00,0.04,0.09,0.00,0.98,0.25,0.03,+0.03,5.61,15.7,35.8,21.3,4.09,51.9,41.2,7.04,65.4,50.6,8.61,0.78,9.1,0.43,0.43,0.54,Matches
56,William Yarbrough\William-Yarbrough,us USA,GK,Colorado,30,1989,14.0,1.43,0.14,0.00,0.14,0.07,1.41,0.27,0.05,+0.05,6.21,13.1,47.3,23.9,5.50,38.5,35.4,7.86,50.0,39.9,8.64,0.57,6.6,0.57,0.57,0.99,Matches
57,Kyle Zobeck\Kyle-Zobeck,us USA,GK,FC Dallas,29,1990,3.5,1.71,0.29,0.29,0.00,0.00,1.97,0.38,0.26,+0.27,5.14,11.4,45.0,21.4,7.14,26.7,28.9,10.6,54.1,38.6,14.3,0.57,4.0,0.29,0.28,3.34,Matches
