Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,17,14,1326,14.7,0.07,0.14,0.00,0.07,0.07,0.20,0.00,0.07,0.14,0.20,0.00,0.14,0.16,0.10,0.13,0.23,0.15,0.13,0.28,0.10,0.23,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,18,17,1493,16.6,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.14,0.16,0.01,0.15,0.16,0.01,0.16,Matches
46,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,32,1987,6,1,129,1.4,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
47,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,27,1992,12,10,743,8.3,0.12,0.12,0.12,0.00,0.00,0.12,0.00,0.12,0.12,0.24,0.12,0.24,0.29,0.29,0.11,0.40,0.29,0.11,0.40,0.29,0.40,Matches
48,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,19,2000,5,3,294,3.3,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.01,0.10,0.11,0.01,0.11,Matches
49,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,20,1999,16,6,445,4.9,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,0.06,0.06,0.02,0.10,0.07,0.03,0.10,0.07,0.10,Matches
50,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,24,1996,21,17,1528,17.0,0.12,0.12,0.12,0.00,0.00,0.24,0.00,0.12,0.12,0.24,0.12,0.24,0.20,0.20,0.11,0.31,0.20,0.11,0.31,0.20,0.31,Matches
51,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,19,2000,13,7,705,7.8,0.13,0.00,0.13,0.00,0.00,0.64,0.00,0.13,0.00,0.13,0.13,0.13,0.01,0.01,0.05,0.08,0.02,0.06,0.07,0.02,0.07,Matches
52,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,20,1999,15,11,1033,11.5,0.17,0.17,0.17,0.00,0.09,0.26,0.00,0.17,0.17,0.35,0.17,0.35,0.31,0.24,0.06,0.30,0.31,0.06,0.37,0.25,0.30,Matches
53,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,24,1995,21,12,973,10.8,0.28,0.00,0.28,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,0.62,0.62,0.05,0.67,0.62,0.05,0.67,0.62,0.67,Matches
54,Álvaro Barreal\Alvaro-Barreal,ar ARG,FW,FC Cincinnati,19,2000,5,4,324,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,0.11,0.00,0.11,0.11,0.11,Matches
55,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,28,1991,21,19,1675,18.6,0.05,0.16,0.05,0.00,0.00,0.27,0.00,0.05,0.16,0.21,0.05,0.21,0.23,0.23,0.25,0.47,0.23,0.25,0.48,0.23,0.48,Matches
56,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,18,2001,14,12,979,10.9,0.46,0.46,0.46,0.00,0.00,0.09,0.00,0.46,0.46,0.92,0.46,0.92,0.26,0.26,0.16,0.41,0.25,0.16,0.41,0.25,0.41,Matches
57,Clement Bayiha\Clement-Bayiha,ca CAN,DF,Montreal,20,1999,4,1,69,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
58,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,22,1997,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.04,0.03,0.01,0.04,0.03,0.04,Matches
59,Brayan Beckeles\Brayan-Beckeles,hn HON,DF,Nashville,34,1985,2,1,72,0.8,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,37,1982,10,5,390,4.3,0.00,0.00,0.00,0.00,0.00,1.16,0.23,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.02,0.09,0.07,0.03,0.10,0.07,0.10,Matches
61,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,32,1987,21,21,1827,20.3,0.15,0.10,0.15,0.00,0.00,0.44,0.00,0.15,0.10,0.25,0.15,0.25,0.12,0.12,0.20,0.33,0.12,0.20,0.32,0.12,0.32,Matches
62,George Bello\George-Bello,us USA,DF,Atlanta,18,2002,20,19,1643,18.3,0.05,0.05,0.05,0.00,0.00,0.11,0.00,0.05,0.05,0.11,0.05,0.11,0.03,0.03,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
63,Jordan Bender\Jordan-Bender,us USA,MF,Orlando City,18,2001,2,1,46,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.06,0.05,0.12,0.06,0.12,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,2,1,91,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Colorado,28,1991,12,5,492,5.5,0.00,0.18,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.18,0.00,0.18,0.09,0.09,0.33,0.40,0.09,0.32,0.41,0.09,0.41,Matches
66,Sebastian Berhalter\Sebastian-Berhalter,us USA,MF,Columbus,18,2001,9,4,397,4.4,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.07,0.04,0.03,0.07,0.04,0.07,Matches
67,Robert Berić\Robert-Beric,si SVN,FW,Chicago,28,1991,23,22,1926,21.4,0.56,0.05,0.51,0.05,0.09,0.05,0.00,0.56,0.05,0.61,0.51,0.56,0.47,0.40,0.09,0.50,0.47,0.10,0.57,0.40,0.49,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,32,1987,10,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,12,6,570,6.3,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.00,0.08,0.11,0.00,0.12,0.07,0.07,Matches
70,Janio Bikel\Janio-Bikel,pt POR,MFDF,Vancouver,24,1995,12,12,944,10.5,0.00,0.00,0.00,0.00,0.00,0.48,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Noah Billingsley\Noah-Billingsley,nz NZL,DF,Minnesota,22,1997,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18,18,1620,18.0,0.00,0.06,0.00,0.00,0.00,0.17,0.00,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Luis Binks\Luis-Binks,eng ENG,DF,Montreal,18,2001,21,20,1763,19.6,0.00,0.00,0.00,0.00,0.00,0.36,0.05,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
74,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,29,1991,10,10,900,10.0,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.00,0.10,0.04,0.04,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
75,José Bizama\Jose-Bizama,cl CHI,DF,Houston,25,1994,8,6,569,6.3,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.06,0.16,0.09,0.07,0.16,0.09,0.16,Matches
76,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,23,1996,14,11,978,10.9,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.05,0.13,0.09,0.05,0.13,0.09,0.13,Matches
