Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
37,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,25,1994,12.7,0.31,0.31,0.16,0.00,0.08,0.00,0.08,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,24,1995,0.2,10.0,8.18,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Artur\Artur,br BRA,MF,Columbus,23,1996,20.3,1.48,1.47,1.18,0.05,0.05,0.00,0.10,0.10,0.30,0.29,0.25,0.05,0.00,0.00,0.00,0.00,0.00,Matches
40,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,25,1994,17.5,2.17,2.17,1.43,0.17,0.06,0.11,0.34,0.06,0.23,0.23,0.17,0.06,0.00,0.00,0.00,0.00,0.00,Matches
41,Dairon Asprilla\Dairon-Asprilla,co COL,FW,Portland,27,1992,0.5,4.00,3.67,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,18,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,31,1988,1.0,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,22,1997,14.7,3.54,3.53,2.65,0.41,0.07,0.20,0.14,0.07,0.34,0.34,0.27,0.07,0.00,0.00,0.00,0.00,0.00,Matches
45,Auro\Auro,br BRA,DF,Toronto FC,24,1996,16.6,2.17,2.17,2.05,0.06,0.06,0.00,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,32,1987,1.4,0.71,0.70,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.70,0.00,0.00,0.00,0.00,0.71,0.00,0.00,Matches
47,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,27,1992,8.3,2.17,2.18,1.57,0.00,0.12,0.12,0.24,0.12,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,19,2000,3.3,2.42,2.45,2.12,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,20,1999,4.9,0.82,0.81,0.61,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,24,1996,17.0,2.06,2.06,1.65,0.00,0.18,0.12,0.06,0.06,0.35,0.35,0.24,0.00,0.06,0.00,0.00,0.06,0.00,Matches
51,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,19,2000,7.8,2.56,2.55,1.67,0.77,0.13,0.00,0.00,0.00,0.51,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,20,1999,11.5,3.57,3.57,2.09,0.26,0.26,0.09,0.87,0.00,0.35,0.35,0.17,0.09,0.09,0.00,0.00,0.00,0.00,Matches
53,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,24,1995,10.8,1.39,1.39,0.74,0.00,0.28,0.37,0.00,0.00,0.28,0.28,0.09,0.00,0.00,0.19,0.00,0.00,0.00,Matches
54,Álvaro Barreal\Alvaro-Barreal,ar ARG,FW,FC Cincinnati,19,2000,3.6,0.83,0.83,0.00,0.00,0.28,0.00,0.28,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,28,1991,18.6,3.92,3.92,2.90,0.27,0.43,0.11,0.11,0.11,0.48,0.48,0.38,0.00,0.00,0.00,0.11,0.00,0.00,Matches
56,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,18,2001,10.9,1.83,1.84,1.47,0.18,0.09,0.00,0.09,0.00,0.55,0.55,0.37,0.09,0.09,0.00,0.00,0.00,0.00,Matches
57,Clement Bayiha\Clement-Bayiha,ca CAN,DF,Montreal,20,1999,0.8,2.50,2.61,1.25,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
