Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
103,Chris Cadden\Chris-Cadden,sco SCO,DFMF,Columbus,23,1996,3.9,0.26,0.00,0.00,1.03,1.03,0.00,3.59,0.26,0.26,0.00,0.00,0.00,8.21,1.03,2.56,28.6,Matches
104,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FW,Nashville,24,1995,2.5,0.00,0.00,0.00,2.80,2.80,1.60,1.20,0.00,0.80,0.00,0.00,0.00,3.20,4.80,6.00,44.4,Matches
105,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,28,1991,12.8,0.31,0.08,0.00,2.11,0.78,0.00,0.16,1.02,0.94,0.00,0.00,0.00,10.8,0.86,1.64,34.4,Matches
106,Alexander Callens\Alexander-Callens,pe PER,DF,NYCFC,27,1992,21.5,0.28,0.00,0.00,1.30,0.70,0.00,0.00,0.51,1.35,0.00,0.00,0.00,9.72,2.33,1.77,56.8,Matches
107,Eric Calvillo\Eric-Calvillo,us USA,MFFW,San Jose,22,1998,2.1,0.00,0.00,0.00,0.95,1.43,0.00,0.48,0.95,0.00,0.00,0.00,0.00,3.81,0.48,0.48,50.0,Matches
108,Francisco Calvo\Francisco-Calvo,cr CRC,DF,Chicago,27,1992,21.2,0.28,0.05,0.00,1.32,0.38,0.09,0.05,1.79,1.51,0.00,0.05,0.00,10.8,2.08,1.65,55.7,Matches
109,Rudy Camacho\Rudy-Camacho,fr FRA,DFMF,Montreal,28,1991,13.2,0.15,0.08,0.00,1.89,0.30,0.00,0.23,0.83,0.91,0.00,0.08,0.08,12.0,1.29,1.52,45.9,Matches
110,George Campbell\George-Campbell,us USA,DF,Atlanta,18,2001,0.5,0.00,0.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,100.0,Matches
111,Reggie Cannon\Reggie-Cannon,us USA,DF,FC Dallas,21,1998,5.0,0.20,0.00,0.00,0.80,2.60,0.00,2.40,0.40,0.80,0.00,0.00,0.00,9.00,1.00,0.40,71.4,Matches
112,Russell Canouse\Russell-Canouse,us USA,DFMF,D.C. United,24,1995,13.7,0.51,0.07,0.07,1.90,1.02,0.00,0.95,0.51,2.19,0.00,0.07,0.07,9.56,1.97,1.68,54.0,Matches
113,Antonio Carlos\Antonio-Carlos,br BRA,DF,Orlando City,26,1993,18.2,0.11,0.00,0.00,0.77,0.71,0.00,0.11,0.88,0.93,0.00,0.00,0.00,8.41,3.19,1.48,68.2,Matches
114,Julián Carranza\Julian-Carranza,ar ARG,FW,Miami,19,2000,6.1,0.49,0.00,0.00,3.44,3.93,0.82,0.00,0.49,1.97,0.00,0.00,0.00,3.77,0.82,3.11,20.8,Matches
115,Julio Cascante\Julio-Cascante,cr CRC,DF,Portland,26,1993,4.5,0.00,0.00,0.00,1.11,1.33,0.00,0.00,0.44,1.11,0.00,0.00,0.00,6.67,4.22,1.56,73.1,Matches
116,Cristian Cásseres Jr.\Cristian-Casseres-Jr,ve VEN,MF,NY Red Bulls,20,2000,14.6,0.21,0.00,0.00,1.85,1.51,0.14,0.75,1.03,2.26,0.00,0.00,0.00,14.0,1.58,0.82,65.7,Matches
117,Valentín Castellanos\Valentin-Castellanos,ar ARG,FW,NYCFC,21,1998,14.9,0.47,0.00,0.00,3.69,1.74,1.01,0.20,0.27,0.87,0.07,0.07,0.00,3.76,2.89,3.89,42.6,Matches
118,Edgar Castillo\Edgar-Castillo,us USA,DF,Atlanta,33,1986,1.6,0.00,0.00,0.00,1.25,1.25,0.00,1.88,0.00,1.25,0.00,0.00,0.00,10.6,1.25,0.00,100.0,Matches
119,Manuel Castro\Manuel-Castro,uy URU,FWMF,Atlanta,24,1995,2.9,0.00,0.00,0.00,2.41,2.41,0.34,1.72,1.03,1.72,0.00,0.00,0.00,3.10,1.38,3.10,30.8,Matches
120,Lucas Cavallini\Lucas-Cavallini,ca CAN,FW,Vancouver,27,1992,16.2,0.49,0.06,0.06,1.85,2.59,0.43,0.25,0.25,0.68,0.06,0.00,0.00,3.15,3.33,3.40,49.5,Matches
