Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
66,Sander Berge\Sander-Berge,no NOR,MF,be Genk,21,1998,6.0,0.00,0.00,0.00,0.50,0.50,0.17,1.17,1.17,1.17,0.00,0.00,0.00,11.0,2.00,1.00,66.7,Matches
67,Steven Bergwijn\Steven-Bergwijn,nl NED,MFFW,eng Tottenham,21,1997,1.0,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,2.00,2.00,50.0,Matches
68,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MF,it Juventus,25,1994,2.9,0.00,0.00,0.00,1.03,2.07,0.00,1.72,0.34,0.34,0.00,0.00,0.00,5.52,0.00,1.03,0.0,Matches
69,Juan Bernat\Juan-Bernat,es ESP,DF,fr Paris S-G,26,1993,9.7,0.31,0.00,0.00,0.82,1.65,0.10,1.13,0.72,1.24,0.00,0.00,0.00,5.67,1.55,0.52,75.0,Matches
70,Antoine Bernede\Antoine-Bernede,fr FRA,MF,at RB Salzburg,20,1999,1.0,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,20.0,0.00,1.00,0.0,Matches
71,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,it Inter,26,1992,2.4,0.42,0.00,0.00,0.83,0.42,0.00,3.33,0.00,0.83,0.00,0.00,0.00,3.75,0.42,0.00,100.0,Matches
72,Daley Blind\Daley-Blind,nl NED,DF,nl Ajax,29,1990,4.7,0.64,0.21,0.21,1.06,0.64,0.00,0.00,1.28,1.06,0.00,0.00,0.00,12.6,2.98,1.49,66.7,Matches
73,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,26,1993,2.1,0.48,0.00,0.00,0.95,3.81,0.00,0.00,0.48,0.00,0.00,0.00,0.00,5.24,1.43,8.57,14.3,Matches
74,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,30,1988,6.4,0.16,0.00,0.00,0.63,0.16,0.00,0.16,0.47,0.47,0.00,0.00,0.00,11.1,2.03,0.47,81.3,Matches
75,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,DF,ua Shakhtar,26,1993,2.7,0.74,0.00,0.00,1.85,2.59,0.00,1.48,1.11,1.85,0.00,0.00,0.00,8.52,0.37,1.11,25.0,Matches
76,Theo Bongonda\Theo-Bongonda,be BEL,MFFW,be Genk,23,1995,2.9,0.34,0.00,0.00,0.69,2.41,0.34,3.79,0.00,0.69,0.00,0.00,0.00,5.86,0.34,1.03,25.0,Matches
77,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,32,1987,7.0,0.14,0.00,0.00,0.86,1.00,0.00,0.00,0.86,0.43,0.00,0.00,0.00,8.57,0.86,1.29,40.0,Matches
78,Neto Borges\Neto-Borges,br BRA,DF,be Genk,22,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,100.0,Matches
79,Jan Bořil\Jan-Boril,cz CZE,DF,cz Slavia Prague,28,1991,6.0,0.33,0.00,0.00,1.83,1.17,0.17,1.33,0.83,0.33,0.00,0.00,0.00,10.3,1.50,1.83,45.0,Matches
80,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6.0,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,,Matches
81,Andreas Bouchalakis\Andreas-Bouchalakis,gr GRE,MF,gr Olympiacos,26,1993,5.3,0.19,0.00,0.00,1.32,0.19,0.00,0.57,1.89,1.32,0.00,0.00,0.00,9.43,1.51,0.94,61.5,Matches
82,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,fr Lille,19,1999,3.0,0.33,0.00,0.00,1.00,0.67,0.00,4.33,0.00,0.67,0.00,0.00,0.00,12.0,0.33,0.67,33.3,Matches
83,Julian Brandt\Julian-Brandt,de GER,MFFW,de Dortmund,23,1996,5.4,0.19,0.00,0.00,0.74,0.19,0.37,1.85,0.74,0.74,0.00,0.00,0.00,7.41,1.30,1.30,50.0,Matches
84,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,1.4,0.00,0.71,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.00,0.00,,Matches
85,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,26,1992,5.8,0.17,0.00,0.00,1.55,1.21,0.00,0.00,1.21,1.72,0.00,0.00,0.00,11.0,0.34,0.34,50.0,Matches
86,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,de Dortmund,20,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,Matches
