Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
723,Laco Takács\Laco-Takacs,cz CZE,DF,cz Slavia Prague,23,1996,2,89,45,16.5,1.0,1.00,82,0.00,1.00,7,1.00,0.00,1.00,3.00,-2.00,-2.02,-1.22,1.50,2.30,-0.80,-0.79,-0.19,Matches
724,Adrien Tameze\Adrien-Tameze,cm CMR,MF,it Atalanta,25,1994,2,9,5,1.1,0.1,0.00,,0.00,20.0,5,0.00,3.00,0.00,0.00,0.00,0.00,+0.11,0.00,4.00,-4.00,-3.53,-3.59,Matches
725,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,eng Tottenham,20,1999,1,90,90,12.5,1.0,1.00,90,1.00,0.00,,2.00,0.00,0.00,3.00,-3.00,-3.00,-3.43,0.30,0.80,-0.50,-0.52,-0.80,Matches
726,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,fr Lyon,33,1986,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
727,Percy Tau\Percy-Tau,za RSA,FW,be Club Brugge,25,1994,3,237,79,43.9,2.6,1.15,79,0.38,0.00,,1.15,1.33,1.15,3.08,-1.92,-1.90,-1.01,1.15,2.19,-1.04,-1.01,-1.37,Matches
728,David Tavares\David-Tavares,pt POR,MF,pt Benfica,20,1999,1,24,24,4.4,0.3,0.00,,0.00,3.33,24,0.00,0.00,3.33,6.67,-3.33,-3.75,-3.75,4.33,2.33,2.00,+2.08,+2.40,Matches
729,Nuno Tavares\Nuno-Tavares,pt POR,DF,pt Benfica,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
730,Tomás Tavares\Tomas-Tavares,pt POR,DF,pt Benfica,18,2001,5,450,90,83.3,5.0,1.00,90,1.00,0.00,,0.20,1.20,1.60,1.80,-0.20,-0.20,-0.20,1.36,1.12,0.24,+0.24,+2.72,Matches
731,Stanislav Tecl\Stanislav-Tecl,cz CZE,FW,cz Slavia Prague,28,1990,3,137,46,25.4,1.5,0.67,58,0.00,1.33,40,0.67,0.33,0.67,1.33,-0.67,-0.66,+0.46,1.27,1.80,-0.47,-0.48,+0.19,Matches
732,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,27,1992,8,720,90,88.9,8.0,1.00,90,1.00,0.00,,0.13,1.88,1.63,1.63,0.00,0.00,-1.00,1.51,1.69,-0.19,-0.18,-0.39,Matches
