Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
11,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,es Valencia,30,1989,6.0,1.83,0.33,0.00,0.17,0.00,1.70,0.29,-0.13,-0.13,6.17,19.2,32.2,23.8,4.83,50.3,41.1,9.67,74.1,56.1,11.3,0.17,1.5,0.50,0.50,2.17,Matches
12,Carlos Coronel\Carlos-Coronel,br BRA,GK,at RB Salzburg,22,1996,2.6,1.54,0.00,0.00,0.00,0.00,1.12,0.33,-0.42,-0.41,3.85,15.8,24.4,15.4,3.46,45.0,38.6,12.7,69.7,52.5,11.5,1.15,10.0,0.00,0.00,3.62,Matches
13,Gaëtan Coucke\Gaetan-Coucke,be BEL,GK,be Genk,20,1998,5.0,3.20,0.00,0.00,0.00,0.00,2.68,0.39,-0.52,-0.53,10.6,24.8,42.7,34.6,4.80,52.0,40.8,10.2,66.7,48.9,10.0,0.60,6.0,1.80,1.80,3.34,Matches
14,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,27,1992,6.5,1.69,0.15,0.00,0.00,0.00,1.86,0.36,0.17,+0.18,2.62,7.38,35.4,28.6,5.69,19.4,28.8,6.62,27.9,33.3,5.85,0.62,10.5,0.77,0.77,2.45,Matches
15,Jaume Doménech\Jaume-Domenech,es ESP,GK,es Valencia,28,1990,2.0,2.00,0.00,0.00,0.00,0.00,1.45,0.42,-0.55,-0.53,10.5,30.0,35.0,25.5,3.00,76.5,48.9,11.0,95.5,63.7,10.5,0.50,4.8,0.50,0.50,7.05,Matches
16,Ederson\Ederson,br BRA,GK,eng Manchester City,25,1993,7.5,0.93,0.13,0.00,0.00,0.00,0.91,0.28,-0.03,-0.02,6.80,13.1,52.0,30.0,3.60,36.0,37.2,3.87,58.6,49.1,4.13,0.53,12.9,2.00,2.00,2.48,Matches
17,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,eng Tottenham,27,1992,4.0,1.25,0.00,0.00,0.25,0.00,1.60,0.30,0.35,+0.35,5.00,15.0,33.3,22.3,4.50,41.6,39.0,10.3,56.1,48.7,8.50,0.25,2.9,0.25,0.25,3.83,Matches
18,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,it Atalanta,24,1995,7.0,1.86,0.14,0.00,0.14,0.00,1.81,0.39,-0.04,-0.05,4.71,11.0,42.9,18.6,3.71,36.9,37.3,5.14,80.6,60.7,6.86,0.71,10.4,1.29,1.29,2.33,Matches
19,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,de RB Leipzig,29,1990,9.7,1.24,0.10,0.00,0.00,0.00,1.33,0.28,0.09,+0.09,6.39,12.9,49.6,30.4,4.74,35.6,34.7,7.11,29.0,34.6,7.42,0.52,6.9,1.03,1.03,1.73,Matches
20,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,35,1984,6.0,1.50,0.17,0.00,0.17,0.00,1.48,0.29,-0.02,-0.02,4.67,9.67,48.3,29.3,5.83,21.0,27.7,7.67,45.7,37.8,6.17,0.67,10.8,0.33,0.33,2.03,Matches
21,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,29,1989,6.0,1.50,0.00,0.00,0.00,0.00,1.53,0.33,0.03,+0.03,8.00,20.2,39.7,39.2,4.17,45.5,39.9,5.17,45.2,41.6,5.50,0.33,6.1,1.33,1.33,3.18,Matches
22,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,32,1987,4.0,1.75,0.25,0.00,0.00,0.25,1.68,0.24,0.17,+0.19,11.8,21.3,55.3,26.8,5.00,61.7,43.5,8.00,59.4,46.5,16.3,1.50,9.2,0.25,0.25,3.20,Matches
23,Anton Kochenkov\Anton-Kochenkov,ru RUS,GK,ru Loko Moscow,32,1987,1.0,2.00,1.00,0.00,1.00,0.00,2.20,0.07,0.20,+0.16,7.00,24.0,29.2,15.0,1.00,66.7,53.6,16.0,87.5,59.2,10.0,0.00,0.0,0.00,0.00,9.00,Matches
24,Ondřej Kolář\Ondrej-Kolar,cz CZE,GK,cz Slavia Prague,24,1994,6.0,1.67,0.00,0.00,0.00,0.17,1.97,0.34,0.47,+0.47,9.83,21.0,46.8,36.0,5.33,48.1,40.8,8.00,45.8,42.5,3.83,0.33,8.7,1.83,1.83,3.02,Matches
25,Dominik Livaković\Dominik-Livakovic,hr CRO,GK,hr Dinamo Zagreb,24,1995,6.0,2.17,0.33,0.00,0.17,0.00,2.27,0.37,0.10,+0.09,8.50,23.5,36.2,20.2,3.33,68.6,51.6,10.2,95.1,68.8,7.83,0.83,10.6,0.67,0.67,2.28,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,eng Tottenham,32,1986,4.0,3.25,0.50,0.00,0.00,0.00,2.40,0.33,-0.85,-0.85,4.25,9.00,47.2,16.3,2.75,36.9,36.6,6.50,46.2,36.4,6.75,0.00,0.0,0.25,0.25,3.25,Matches
27,Anthony Lopes\Anthony-Lopes,pt POR,GK,fr Lyon,28,1990,10.0,1.40,0.30,0.00,0.10,0.00,1.20,0.27,-0.20,-0.20,6.40,15.4,41.6,24.1,5.50,44.0,38.4,9.10,52.7,44.7,10.6,0.70,6.6,0.20,0.20,1.24,Matches
28,Andrey Lunyov\Andrey-Lunyov,ru RUS,GK,ru Zenit,27,1991,2.0,1.00,0.50,0.00,0.00,0.00,1.10,0.10,0.10,+0.12,5.50,16.0,34.4,24.5,6.50,51.0,43.2,7.50,46.7,40.3,13.0,3.00,23.1,0.00,0.00,4.60,Matches
29,Mike Maignan\Mike-Maignan,fr FRA,GK,fr Lille,23,1995,5.8,2.41,0.17,0.00,0.34,0.17,1.93,0.33,-0.31,-0.31,4.83,17.8,27.2,24.3,5.52,53.9,43.2,6.03,77.1,59.0,9.48,1.21,12.7,0.52,0.52,2.71,Matches
30,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,33,1985,5.0,1.80,0.00,0.00,0.00,0.40,1.54,0.23,0.14,+0.14,10.0,21.4,46.7,20.8,5.60,57.7,44.1,11.6,81.0,51.4,10.6,0.80,7.5,0.20,0.20,2.36,Matches
31,Alex Meret\Alex-Meret,it ITA,GK,it Napoli,22,1997,6.0,0.67,0.33,0.00,0.33,0.00,0.88,0.21,0.22,+0.21,5.83,11.5,50.7,19.0,2.67,28.1,31.1,11.0,56.1,42.7,11.7,1.33,11.4,0.17,0.17,1.87,Matches
32,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,31,1988,6.0,2.00,0.00,0.00,0.17,0.00,1.75,0.44,-0.25,-0.25,8.17,17.2,47.6,22.7,3.17,50.0,39.1,9.83,59.3,46.0,8.83,0.83,9.4,0.50,0.50,2.68,Matches
33,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,33,1986,6.0,2.33,0.33,0.00,0.00,0.00,2.68,0.31,0.35,+0.35,11.0,29.7,37.1,35.5,6.17,62.4,46.0,9.17,81.8,59.5,9.17,1.50,16.4,0.83,0.83,2.30,Matches
34,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,25,1994,0.3,0.00,0.00,0.00,0.00,0.00,0.67,0.09,0.67,+0.62,0.00,3.33,0.0,26.7,6.67,12.5,25.0,6.67,0.0,18.5,3.33,0.00,0.0,0.00,0.00,50.0,Matches
35,Keylor Navas\Keylor-Navas,cr CRC,GK,fr Paris S-G,32,1986,8.9,0.67,0.00,0.00,0.00,0.00,0.91,0.26,0.24,+0.24,4.72,13.5,35.0,22.7,4.72,43.1,36.9,7.98,46.5,37.6,7.98,0.34,4.2,0.34,0.34,1.26,Matches
36,Neto\Neto,br BRA,GK,es Barcelona,30,1989,1.0,1.00,0.00,0.00,0.00,0.00,0.50,0.07,-0.50,-0.51,9.00,20.0,45.0,40.0,11.0,40.0,35.4,10.0,40.0,37.3,12.0,0.00,0.0,0.00,0.00,10.6,Matches
37,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,33,1986,11.0,0.73,0.09,0.00,0.00,0.09,0.77,0.23,0.14,+0.13,7.82,12.3,63.7,39.0,5.27,29.6,31.7,5.18,14.0,26.4,5.09,0.27,5.4,0.82,0.82,1.40,Matches
38,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,26,1993,9.3,0.97,0.00,0.11,0.00,0.11,0.74,0.24,-0.12,-0.12,7.53,18.3,41.2,17.0,3.12,64.6,46.8,8.60,85.0,59.3,11.2,0.65,5.8,0.22,0.21,1.46,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,23,1996,6.0,1.00,0.33,0.00,0.17,0.00,1.75,0.32,0.75,+0.75,6.33,18.2,34.9,29.0,4.33,47.1,40.0,8.17,55.1,44.9,7.17,1.00,14.0,0.67,0.67,2.62,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,30,1988,2.0,2.00,0.50,0.00,0.50,0.00,1.65,0.59,-0.35,-0.33,3.50,7.00,50.0,25.0,2.50,22.0,28.3,5.50,27.3,18.2,5.00,0.00,0.0,0.50,0.50,4.25,Matches
41,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6.0,2.17,0.17,0.00,0.00,0.00,2.15,0.38,-0.02,-0.02,9.50,17.3,54.8,32.0,7.33,42.2,38.2,8.33,46.0,40.3,10.5,1.00,9.5,0.33,0.33,2.08,Matches
42,Sergio Rico\Sergio-Rico,es ESP,GK,fr Paris S-G,25,1993,2.1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.05,+0.05,1.43,5.24,27.3,21.4,4.76,17.8,24.9,6.19,23.1,25.8,7.62,0.00,0.0,0.00,0.00,4.19,Matches
43,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,26,1993,6.0,2.33,0.17,0.00,0.50,0.00,2.13,0.36,-0.20,-0.20,4.00,19.3,20.7,28.0,6.33,49.4,41.7,7.50,73.3,58.6,9.67,1.33,13.8,0.17,0.17,2.33,Matches
44,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Atalanta,27,1992,2.0,2.50,0.00,0.00,0.00,0.00,2.20,0.34,-0.30,-0.29,6.00,19.0,31.6,18.0,4.00,55.6,43.0,9.50,94.7,62.9,7.50,0.00,0.0,0.50,0.50,6.75,Matches
45,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,26,1992,3.4,2.65,0.00,0.00,0.00,0.00,1.65,0.31,-1.00,-1.02,3.24,11.2,28.9,16.5,2.65,44.6,36.2,8.82,43.3,43.1,7.35,0.59,8.0,0.88,0.89,4.24,Matches
46,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,29,1990,7.0,0.86,0.14,0.00,0.14,0.00,1.03,0.30,0.17,+0.17,3.29,5.00,65.7,20.3,5.71,16.2,28.5,7.71,22.2,28.1,9.00,0.86,9.5,0.43,0.43,1.81,Matches
47,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,27,1992,8.0,1.63,0.13,0.00,0.13,0.00,1.86,0.39,0.24,+0.23,3.50,8.50,41.2,27.5,5.25,25.5,30.1,7.13,21.1,27.8,6.13,0.38,6.1,0.50,0.50,1.56,Matches
48,Maarten Vandevoordt\Maarten-Vandevoordt,be BEL,GK,be Genk,17,2002,1.0,4.00,2.00,0.00,0.00,0.00,3.40,0.53,-0.60,-0.58,8.00,16.0,50.0,23.0,2.00,56.5,41.3,6.00,50.0,41.0,7.00,1.00,14.3,0.00,0.00,8.70,Matches
49,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,25,1994,6.0,1.83,0.17,0.00,0.17,0.17,1.43,0.28,-0.23,-0.24,3.50,9.17,38.2,21.0,6.33,24.6,31.5,9.50,42.1,38.5,10.3,0.50,4.8,0.83,0.83,2.58,Matches
50,Kyle Walker\Kyle-Walker,eng ENG,DF,eng Manchester City,29,1990,4.9,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.04,+0.04,0.00,0.41,0.0,0.41,0.00,100.0,73.5,0.00,,,0.00,0.00,,0.00,0.00,0.82,Matches
