Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
43,Sardar Azmoun\Sardar-Azmoun,ir IRN,FW,ru Zenit,24,1995,6,6,462,5.1,0.39,0.00,0.39,0.00,0.00,0.20,0.00,0.39,0.00,0.39,0.39,0.39,0.61,0.61,0.02,0.61,0.60,0.01,0.61,0.60,0.61,Matches
44,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,eng Chelsea,29,1989,7,7,612,6.8,0.29,0.00,0.29,0.00,0.00,0.29,0.00,0.29,0.00,0.29,0.29,0.29,0.18,0.18,0.07,0.26,0.18,0.08,0.26,0.18,0.26,Matches
45,Ryan Babel\Ryan-Babel,nl NED,FW,tr Galatasaray,32,1986,4,4,333,3.7,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.08,0.22,0.13,0.08,0.21,0.13,0.21,Matches
46,Leon Bailey\Leon-Bailey,jm JAM,FWMF,de Leverkusen,21,1997,3,2,115,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.02,0.24,0.26,0.02,0.26,Matches
47,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,30,1989,3,1,116,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.31,0.00,0.31,0.29,0.00,0.29,0.29,0.29,Matches
48,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,de Dortmund,20,1999,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,fr Lille,23,1996,6,3,282,3.1,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,0.00,0.64,0.26,0.26,0.32,0.58,0.26,0.32,0.58,0.26,0.58,Matches
50,Nicolò Barella\Nicolo-Barella,it ITA,MF,it Inter,22,1997,4,3,290,3.2,0.31,0.00,0.31,0.00,0.00,0.63,0.00,0.31,0.00,0.31,0.31,0.31,0.09,0.09,0.00,0.09,0.09,0.01,0.09,0.09,0.09,Matches
51,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5,5,450,5.0,0.20,0.00,0.20,0.00,0.00,0.60,0.00,0.20,0.00,0.20,0.20,0.20,0.06,0.06,0.02,0.10,0.07,0.02,0.09,0.07,0.09,Matches
52,Ross Barkley\Ross-Barkley,eng ENG,FWMF,eng Chelsea,25,1993,3,2,161,1.8,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.06,0.06,0.11,0.48,0.05,0.54,0.06,0.11,Matches
53,Wílmar Barrios\Wilmar-Barrios,co COL,MF,ru Zenit,25,1993,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.01,0.00,0.01,Matches
54,Musa Barrow\Musa-Barrow,gm GAM,FW,it Atalanta,20,1998,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
55,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,eng Chelsea,25,1993,4,0,88,1.0,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.02,0.00,1.02,1.02,1.02,1.70,1.70,0.20,1.80,1.71,0.17,1.88,1.71,1.88,Matches
56,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,6,3,346,3.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.02,0.02,0.02,Matches
57,Ömer Bayram\Omer-Bayram,tr TUR,FWMF,tr Galatasaray,28,1991,5,2,252,2.8,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36,0.04,0.04,0.18,0.21,0.04,0.18,0.22,0.04,0.22,Matches
58,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,22,1997,5,5,447,5.0,0.40,0.20,0.40,0.00,0.00,0.20,0.00,0.40,0.20,0.60,0.40,0.60,0.20,0.20,0.22,0.42,0.20,0.21,0.42,0.20,0.42,Matches
59,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,29,1990,4,4,303,3.4,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.09,0.21,0.11,0.10,0.21,0.11,0.21,Matches
60,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,de Leverkusen,29,1990,5,5,411,4.6,0.00,0.22,0.00,0.00,0.00,0.43,0.00,0.00,0.22,0.22,0.00,0.22,0.07,0.07,0.26,0.33,0.06,0.27,0.33,0.06,0.33,Matches
61,Lars Bender\Lars-Bender,de GER,DF,de Leverkusen,30,1989,4,3,271,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.09,0.09,0.00,0.09,Matches
62,Sven Bender\Sven-Bender,de GER,DF,de Leverkusen,30,1989,6,6,539,6.0,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,0.03,0.03,0.00,0.03,0.04,0.00,0.04,0.04,0.04,Matches
63,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,it Juventus,22,1997,7,4,421,4.7,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.01,0.06,0.07,0.01,0.07,Matches
64,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,31,1987,8,7,644,7.2,0.69,0.28,0.69,0.00,0.00,0.00,0.00,0.70,0.28,0.98,0.70,0.98,0.76,0.76,0.43,1.19,0.77,0.43,1.20,0.77,1.20,Matches
65,Yassine Benzia\Yassine-Benzia,dz ALG,MF,gr Olympiacos,24,1994,3,1,79,0.9,0.00,0.00,0.00,0.00,0.00,2.22,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.03,0.09,0.06,0.09,Matches
66,Sander Berge\Sander-Berge,no NOR,MF,be Genk,21,1998,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.07,0.03,0.03,0.06,0.03,0.06,Matches
67,Steven Bergwijn\Steven-Bergwijn,nl NED,MFFW,eng Tottenham,21,1997,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.30,0.23,0.03,0.25,0.23,0.25,Matches
68,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MF,it Juventus,25,1994,6,3,263,2.9,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.34,0.34,0.68,0.34,0.68,0.24,0.24,0.07,0.34,0.25,0.08,0.33,0.25,0.33,Matches
