Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
it Inter,20,27.9,41.2,6,66,540,6.0,1.67,1.50,1.67,0.00,0.17,2.83,0.00,1.67,1.50,3.17,1.67,3.17,1.42,1.28,1.13,2.42,1.41,1.13,2.54,1.28,2.41
it Juventus,23,28.7,59.8,8,88,720,8.0,1.75,1.25,1.63,0.13,0.13,1.25,0.00,1.75,1.25,3.00,1.62,2.87,1.45,1.36,0.93,2.29,1.45,0.93,2.38,1.36,2.28
de Leverkusen,20,26.7,58.8,6,66,540,6.0,0.33,0.33,0.33,0.00,0.00,1.17,0.17,0.33,0.33,0.67,0.33,0.67,0.82,0.82,0.72,1.53,0.82,0.71,1.54,0.82,1.54
fr Lille,21,23.8,42.0,6,66,540,6.0,0.67,0.67,0.67,0.00,0.00,2.33,0.00,0.67,0.67,1.33,0.67,1.33,1.18,1.18,0.95,2.13,1.18,0.94,2.13,1.18,2.13
eng Liverpool,20,27.0,67.6,8,88,750,8.3,1.81,1.33,1.81,0.00,0.00,1.08,0.00,1.80,1.32,3.12,1.80,3.12,1.75,1.75,1.29,3.04,1.74,1.29,3.02,1.74,3.02
ru Loko Moscow,20,28.6,31.8,6,66,540,6.0,0.67,0.33,0.67,0.00,0.00,2.00,0.00,0.67,0.33,1.00,0.67,1.00,0.93,0.93,0.53,1.47,0.93,0.53,1.46,0.93,1.46
fr Lyon,24,25.0,44.8,10,110,900,10.0,1.40,0.90,1.20,0.20,0.20,2.20,0.00,1.40,0.90,2.30,1.20,2.10,1.05,0.90,0.61,1.52,1.05,0.61,1.67,0.90,1.52
eng Manchester City,23,26.9,62.8,9,99,810,9.0,2.33,2.00,2.11,0.22,0.33,1.67,0.22,2.33,2.00,4.33,2.11,4.11,2.50,2.26,1.81,4.07,2.50,1.81,4.32,2.25,4.07
it Napoli,24,27.1,47.4,8,88,720,8.0,1.63,0.75,1.13,0.50,0.50,1.75,0.00,1.62,0.75,2.37,1.13,1.87,1.63,1.26,0.86,2.11,1.63,0.86,2.49,1.26,2.12
gr Olympiacos,17,26.2,44.8,6,66,540,6.0,1.33,0.83,1.00,0.33,0.33,2.33,0.17,1.33,0.83,2.17,1.00,1.83,1.28,1.03,0.80,1.83,1.29,0.80,2.09,1.03,1.84
fr Paris S-G,24,27.4,53.3,11,121,990,11.0,2.27,1.82,2.18,0.09,0.09,2.64,0.00,2.27,1.82,4.09,2.18,4.00,2.17,2.10,1.72,3.82,2.17,1.72,3.89,2.10,3.82
de RB Leipzig,25,24.2,57.4,10,110,900,10.0,1.60,1.00,1.20,0.40,0.40,2.00,0.00,1.60,1.00,2.60,1.20,2.20,1.62,1.32,0.90,2.22,1.62,0.90,2.51,1.32,2.22
at RB Salzburg,21,24.1,44.7,6,66,540,6.0,2.67,2.17,2.33,0.33,0.33,1.33,0.00,2.67,2.17,4.83,2.33,4.50,2.05,1.80,1.60,3.38,2.05,1.59,3.64,1.80,3.39
es Real Madrid,25,27.3,54.9,8,88,720,8.0,2.00,1.75,1.88,0.13,0.13,1.63,0.13,2.00,1.75,3.75,1.87,3.62,1.95,1.86,1.59,3.45,1.95,1.59,3.54,1.86,3.45
rs Red Star,19,27.5,36.2,6,66,540,6.0,0.50,0.33,0.50,0.00,0.17,2.33,0.00,0.50,0.33,0.83,0.50,0.83,0.67,0.55,0.33,0.87,0.67,0.33,1.00,0.55,0.87
ua Shakhtar,18,28.4,50.0,6,66,540,6.0,1.33,1.00,1.17,0.17,0.17,1.83,0.33,1.33,1.00,2.33,1.17,2.17,1.12,0.98,0.92,1.90,1.11,0.92,2.03,0.99,1.90
cz Slavia Prague,20,26.9,48.8,6,66,540,6.0,0.67,0.50,0.50,0.17,0.17,2.67,0.00,0.67,0.50,1.17,0.50,1.00,1.28,1.15,0.75,1.92,1.28,0.76,2.04,1.15,1.91
