Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
287,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,28,1989,23.6,0.08,0.59,0.21,35.7,0.59,0.21,0.14,0.40,8.5,0.00,0.00,0.00,0.07,0.07,0.12,0.01,0.01,Matches
288,Chris Löwe\Chris-Lowe,de GER,DF,Huddersfield,28,1989,17.6,0.00,0.45,0.11,25.0,0.45,0.11,0.00,0.00,26.3,0.17,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
289,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,28,1989,25.5,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,24.6,0.00,0.00,0.00,0.00,0.00,0.04,-0.00,-0.00,Matches
290,David Luiz\David-Luiz,br BRA,DFMF,Chelsea,30,1987,9.3,0.11,1.18,0.43,36.4,1.18,0.43,0.09,0.25,21.9,0.22,0.00,0.00,0.05,0.05,0.05,0.05,0.05,Matches
291,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Manchester Utd,24,1993,31.9,0.50,2.57,1.29,50.0,2.57,1.29,0.20,0.39,12.3,0.09,0.00,0.03,0.43,0.40,0.16,0.08,0.10,Matches
292,Dodi Lukebakio\Dodi-Lukebakio,be BEL,MF,Watford,19,1997,0.2,0.00,5.00,0.00,0.0,5.63,0.00,0.00,,33.4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
293,Levi Lumeka\Levi-Lumeka,eng ENG,FW,Crystal Palace,18,1998,0.3,0.00,3.33,0.00,0.0,3.46,0.00,0.00,,9.0,0.00,0.00,0.00,0.33,0.33,0.11,-0.33,-0.33,Matches
294,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,24,1993,38.0,0.05,0.92,0.21,22.9,0.92,0.21,0.06,0.25,11.7,0.00,0.00,0.00,0.07,0.07,0.08,-0.02,-0.02,Matches
295,Riyad Mahrez\Riyad-Mahrez,dz ALG,MFFW,Leicester City,26,1991,32.8,0.37,2.23,1.07,47.9,2.23,1.07,0.16,0.34,18.9,0.24,0.00,0.00,0.16,0.16,0.07,0.20,0.20,Matches
296,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DFMF,Arsenal,19,1997,10.2,0.00,0.49,0.00,0.0,0.49,0.00,0.00,,21.6,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
297,Scott Malone\Scott-Malone,eng ENG,DF,Huddersfield,26,1991,12.4,0.00,0.73,0.16,22.2,0.72,0.16,0.00,0.00,19.1,0.00,0.00,0.00,0.06,0.06,0.08,-0.06,-0.06,Matches
298,Sadio Mané\Sadio-Mane,sn SEN,FWMF,Liverpool,25,1992,24.3,0.41,2.92,1.03,35.2,2.92,1.03,0.14,0.40,14.6,0.00,0.00,0.00,0.44,0.44,0.15,-0.02,-0.02,Matches
299,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Everton,26,1991,1.5,0.00,0.67,0.00,0.0,0.67,0.00,0.00,,14.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
300,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Manchester City,26,1991,5.4,0.00,0.56,0.00,0.0,0.55,0.00,0.00,,9.7,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
301,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,23,1994,19.5,0.00,0.10,0.00,0.0,0.10,0.00,0.00,,9.9,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
302,Solly March\Solly-March,eng ENG,MFFW,Brighton,23,1994,20.6,0.05,1.46,0.44,30.0,1.46,0.44,0.03,0.11,23.1,0.05,0.00,0.00,0.06,0.06,0.04,-0.01,-0.01,Matches
303,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,30,1986,24.6,0.00,0.33,0.08,25.0,0.33,0.08,0.00,0.00,11.5,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
304,João Mário\Joao-Mario,pt POR,MFFW,West Ham,24,1993,11.4,0.18,1.40,0.35,25.0,1.41,0.35,0.13,0.50,16.7,0.09,0.00,0.00,0.16,0.16,0.11,0.02,0.02,Matches
305,Anthony Martial\Anthony-Martial,fr FRA,FWMF,Manchester Utd,21,1995,17.6,0.51,2.78,0.85,30.6,2.79,0.85,0.16,0.53,16.6,0.00,0.06,0.06,0.39,0.34,0.12,0.13,0.11,Matches
306,Cuco Martina\Cuco-Martina,cw CUW,DF,Everton,27,1989,20.3,0.00,0.15,0.10,66.7,0.15,0.10,0.00,0.00,25.8,0.00,0.00,0.00,0.00,0.00,0.05,-0.00,-0.00,Matches
307,Bruno Martins Indi\Bruno-Martins-Indi,nl NED,DF,Stoke City,25,1992,13.8,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,13.3,0.00,0.00,0.00,0.03,0.03,0.10,-0.03,-0.03,Matches
308,Arthur Masuaku\Arthur-Masuaku,cd COD,MFDF,West Ham,23,1993,20.8,0.00,0.38,0.14,37.5,0.39,0.14,0.00,0.00,27.8,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
309,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,29,1988,21.4,0.14,1.31,0.47,35.7,1.31,0.47,0.11,0.30,16.9,0.19,0.00,0.00,0.14,0.14,0.11,0.00,0.00,Matches
310,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,28,1988,34.6,0.03,0.61,0.06,9.5,0.61,0.06,0.05,0.50,24.4,0.00,0.00,0.00,0.02,0.02,0.03,0.01,0.01,Matches
311,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,25,1991,22.2,0.05,0.59,0.09,15.4,0.59,0.09,0.08,0.50,9.6,0.00,0.00,0.00,0.10,0.10,0.17,-0.06,-0.06,Matches
312,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DFMF,Arsenal,19,1997,2.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
313,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Swansea City,23,1994,38.0,0.05,0.47,0.16,33.3,0.47,0.16,0.11,0.33,11.2,0.00,0.00,0.00,0.05,0.05,0.11,0.00,0.00,Matches
