Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,23,1993,4.0,23.0,21.8,1.25,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,17.5,3.50,2.00,4.25,15.5,2.25,0.00,0.50,16.3,0.25,0.25,0.75,1.75,Matches
43,Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,25,1992,14.5,31.6,23.2,8.41,0.41,0.07,7.24,0.83,2.14,0.00,0.00,0.00,0.00,12.0,4.62,15.0,2.48,17.4,2.76,8.00,0.14,18.9,0.14,0.83,0.83,1.72,Matches
44,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,21,1996,4.7,39.1,36.4,2.77,1.06,0.00,5.96,0.85,0.00,0.00,0.00,0.00,0.00,24.5,1.91,12.8,5.32,27.7,4.04,1.70,0.21,29.1,0.00,1.91,0.43,0.43,Matches
45,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38.0,23.4,15.8,7.61,2.39,0.00,1.68,1.11,0.00,0.00,0.00,0.00,0.00,8.66,0.95,13.8,2.82,14.9,0.03,0.00,4.50,13.8,0.05,1.05,0.11,0.08,Matches
46,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,22,1995,33.9,62.6,56.5,6.05,0.03,0.06,8.23,0.41,2.04,0.00,0.00,0.00,0.00,44.7,7.58,10.3,5.72,47.1,3.07,6.02,0.09,51.9,0.21,0.59,1.45,2.04,Matches
47,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,30,1987,1.0,34.0,29.0,5.00,2.00,0.00,4.00,2.00,3.00,0.00,0.00,0.00,0.00,15.0,6.00,13.0,4.00,21.0,5.00,3.00,0.00,19.0,0.00,4.00,1.00,2.00,Matches
48,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,26.0,24.9,1.08,0.00,0.00,10.1,0.08,0.28,0.00,0.00,0.00,0.00,9.60,6.87,9.52,1.12,12.2,6.02,0.00,0.80,15.2,0.00,0.48,0.96,0.60,Matches
49,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,23,1993,5.5,17.3,16.7,0.55,0.18,0.18,5.64,0.18,0.73,0.00,0.00,0.00,0.00,12.5,2.00,2.73,1.82,12.7,1.64,0.00,0.36,12.5,0.00,0.00,0.55,0.55,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,26,1990,31.5,33.4,28.2,5.21,2.35,0.00,6.86,2.67,3.84,2.70,0.13,0.16,0.03,17.2,2.86,13.3,25.9,4.35,2.35,0.10,0.10,21.2,0.19,0.95,0.70,1.33,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,27,1989,34.8,55.2,45.0,10.2,0.72,0.11,7.84,1.15,2.64,0.95,0.20,0.06,0.03,32.6,6.52,16.1,38.9,3.82,3.22,8.51,0.06,41.8,0.20,1.52,1.24,1.87,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Everton,24,1992,0.5,56.0,54.0,2.00,2.00,0.00,10.0,6.00,0.00,0.00,0.00,0.00,0.00,36.0,8.00,12.0,10.0,42.0,0.00,0.00,0.00,52.0,0.00,0.00,0.00,0.00,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,21,1996,8.5,45.3,43.3,2.00,0.71,0.00,7.88,2.24,1.41,0.00,0.00,0.00,0.00,30.2,4.24,10.8,31.6,6.24,3.76,1.29,0.35,33.3,0.00,1.53,1.65,1.18,Matches
54,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,FWMF,Stoke City,29,1987,28.8,22.3,20.7,1.53,0.00,0.03,6.28,0.14,0.83,0.00,0.00,0.00,0.00,9.62,4.48,8.16,2.60,11.0,4.93,1.18,0.28,12.5,0.14,0.97,0.63,1.15,Matches
55,Daley Blind\Daley-Blind,nl NED,DFMF,Manchester Utd,27,1990,4.0,68.3,59.5,8.75,0.00,0.00,6.25,2.00,3.50,4.00,0.00,1.25,0.00,41.5,5.25,21.5,52.5,6.75,3.00,4.75,0.00,53.8,0.00,0.75,0.50,1.50,Matches
56,Jeremie Boga\Jeremie-Boga,ci CIV,MF,Chelsea,20,1997,0.2,20.0,20.0,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
57,Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Everton,28,1989,9.5,28.4,27.8,0.63,0.00,0.11,6.84,1.05,3.37,0.11,0.00,0.00,0.00,15.9,4.21,8.32,6.32,19.1,2.11,0.11,0.21,14.9,0.21,0.95,0.95,2.11,Matches
58,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,29,1988,24.8,42.0,33.2,8.83,0.08,0.00,8.19,0.32,1.37,0.00,0.00,0.00,0.00,20.2,4.68,17.1,25.1,4.88,2.66,8.75,0.08,28.1,0.08,1.53,1.21,1.90,Matches
59,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Swansea City,28,1988,7.9,24.9,23.7,1.27,0.13,0.00,6.71,0.00,0.00,0.00,0.00,0.00,0.00,14.7,3.29,6.96,4.81,12.2,5.06,0.00,0.63,16.6,0.13,0.63,0.63,1.01,Matches
60,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,23,1993,13.5,42.1,40.5,1.56,0.15,0.15,6.15,1.41,2.44,0.89,0.22,0.00,0.00,31.5,3.70,6.89,8.81,31.0,1.85,0.22,0.00,30.4,0.15,1.63,0.96,1.93,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,25,1992,14.2,41.4,33.2,8.17,3.10,0.14,8.24,4.15,3.87,4.51,0.00,0.21,0.14,19.5,2.96,18.9,31.6,5.70,2.96,0.56,0.21,24.9,0.63,2.25,0.70,1.83,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,2.5,21.2,18.8,2.40,0.80,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,16.4,0.40,4.40,2.00,16.0,0.00,0.00,3.20,18.8,0.00,0.40,0.00,0.00,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,32,1985,8.9,46.3,44.9,1.35,0.90,0.00,7.19,1.35,0.45,0.00,0.00,0.00,0.00,26.9,4.04,15.4,31.2,7.53,5.39,0.45,0.22,34.8,0.45,2.02,0.56,0.45,Matches
64,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,34,1982,3.4,38.8,37.9,0.88,0.88,0.00,5.59,0.00,0.29,0.00,0.00,0.00,0.00,35.9,0.88,2.06,6.18,30.0,2.65,0.00,0.00,36.2,0.00,0.29,0.59,0.29,Matches
65,Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,20,1997,3.5,36.6,36.3,0.29,0.29,0.00,10.6,0.86,1.71,0.00,0.00,0.00,0.00,24.9,5.14,6.57,6.86,24.3,4.00,0.00,0.29,25.7,0.57,0.29,0.29,2.29,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,36,1980,22.4,52.8,44.9,7.90,0.31,0.00,11.3,1.38,1.65,0.00,0.00,0.00,0.00,32.9,5.58,14.4,2.05,40.2,1.79,7.59,0.49,40.9,0.31,1.47,1.12,1.25,Matches
67,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,32,1984,21.3,49.5,40.9,8.59,2.68,0.09,7.70,4.27,3.19,3.62,0.56,0.19,0.00,24.7,5.02,19.8,37.3,6.38,3.19,2.21,0.23,33.7,0.47,2.30,0.85,0.99,Matches
68,Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,20,1997,4.1,35.6,35.1,0.49,0.24,0.00,7.80,0.98,1.46,0.00,0.00,0.00,0.00,27.1,3.17,5.37,0.98,30.7,2.68,0.24,0.49,27.1,0.00,0.49,0.73,1.46,Matches
