Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,25,1992,14.2,3.66,3.66,1.27,1.83,0.14,0.21,0.14,0.07,0.35,0.35,0.21,0.07,0.00,0.07,0.00,0.00,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,32,1985,8.9,0.56,0.57,0.45,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,34,1982,3.4,0.29,0.30,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,20,1997,3.5,2.57,2.65,2.29,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,36,1980,22.4,0.98,0.98,0.85,0.04,0.09,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,32,1984,21.3,3.15,3.14,1.69,1.17,0.09,0.14,0.00,0.05,0.38,0.37,0.09,0.23,0.00,0.05,0.00,0.00,0.00,Matches
68,Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,20,1997,4.1,1.71,1.76,1.22,0.00,0.00,0.24,0.24,0.00,0.73,0.76,0.49,0.00,0.00,0.00,0.24,0.00,0.00,Matches
69,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35.0,0.17,0.17,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Sam Byram\Sam-Byram,eng ENG,DF,West Ham,23,1993,2.8,1.07,1.10,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
