Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
31,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,31.0,26.3,31.0,0.00,0.00,0.00,23.7,0.00,0.00,,0.00,0.00,18.3,87.7,33.0,0.00,0.00,0.00,0.00,0.00,17.0,17.0,100.0,0.00,Matches
32,Santiago Arias\Santiago-Arias,co COL,DFMF,es Atlético Madrid,26,1992,3.8,53.7,2.89,12.4,23.2,20.3,1.05,47.6,0.26,0.53,50.0,0.26,0.00,36.3,211.1,131.1,7.89,1.58,0.26,0.26,0.26,36.1,32.6,90.5,2.89,Matches
33,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,29,1988,5.8,67.1,3.97,24.1,33.1,14.7,0.34,59.8,1.03,2.07,50.0,1.03,0.17,44.8,205.3,115.7,4.31,2.24,0.17,0.86,0.69,44.3,41.7,94.2,2.24,Matches
34,Marco Asensio\Marco-Asensio,es ESP,FW,es Real Madrid,22,1996,3.4,74.1,1.18,4.71,33.5,42.9,8.24,71.8,3.53,4.12,85.7,3.53,0.00,64.7,436.2,231.8,14.1,4.12,1.47,1.18,2.06,76.5,61.2,80.0,11.5,Matches
35,Roger Assalé\Roger-Assale,ci CIV,FWMF,ch Young Boys,24,1993,4.2,42.9,0.48,3.81,22.9,21.7,3.57,41.7,2.38,4.29,55.6,2.62,0.48,35.7,204.3,113.3,6.43,1.90,0.24,3.57,2.86,51.4,34.3,66.7,9.52,Matches
36,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,74.2,3.13,19.6,29.8,30.0,1.46,65.0,2.08,2.71,76.9,2.08,0.42,49.0,196.9,117.9,5.42,2.92,0.42,1.46,1.67,48.8,44.2,90.6,3.33,Matches
37,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,10.0,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,Matches
38,Serdar Aziz\Serdar-Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,70.5,5.00,32.8,39.8,1.00,0.50,69.0,0.00,0.00,,0.00,0.00,46.0,178.5,112.8,2.00,0.00,0.00,0.00,0.00,49.5,47.8,96.5,0.25,Matches
39,Srđan Babić\Srdjan-Babic,rs SRB,DF,rs Red Star,22,1996,2.5,48.8,8.00,33.2,20.0,1.20,0.40,48.4,0.40,0.40,100.0,0.40,0.00,29.6,152.0,71.2,0.40,0.80,0.00,0.00,0.00,31.6,30.4,96.2,0.40,Matches
40,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,34.0,31.0,34.0,0.00,0.00,0.00,19.0,0.00,0.00,,0.00,0.00,10.0,30.0,12.0,0.00,0.00,0.00,0.00,0.00,9.00,9.00,100.0,0.00,Matches
41,Eric Bailly\Eric-Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,44.1,3.82,21.8,22.4,1.18,0.29,42.4,0.59,0.59,100.0,0.59,0.00,29.7,132.1,54.1,1.47,0.29,0.00,0.00,0.00,26.2,25.3,96.6,0.00,Matches
42,Michalis Bakakis\Michalis-Bakakis,gr GRE,DFFW,gr AEK Athens,27,1991,5.8,54.3,5.00,19.0,26.9,14.0,0.69,45.5,1.21,2.07,58.3,1.21,0.00,30.9,186.0,87.6,3.28,2.07,0.17,0.69,1.38,29.8,26.0,87.3,1.03,Matches
43,Anastasios Bakasetas\Anastasios-Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,66.5,0.50,7.00,38.0,25.0,0.50,63.0,1.00,1.50,66.7,1.00,0.00,50.0,233.5,122.0,7.50,1.00,0.50,0.50,2.50,56.5,51.0,90.3,2.50,Matches
44,Keita Baldé\Keita-Balde,sn SEN,FWMF,it Inter,23,1995,0.8,41.3,0.00,2.50,15.0,25.0,6.25,41.3,1.25,2.50,50.0,1.25,0.00,31.3,192.5,91.3,6.25,1.25,1.25,1.25,1.25,50.0,32.5,65.0,12.5,Matches
45,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,29,1989,5.4,51.1,1.11,5.56,23.5,26.1,8.15,50.6,1.30,1.85,70.0,1.30,0.00,39.6,254.4,143.1,8.15,2.59,2.04,1.85,0.93,63.9,44.4,69.6,13.0,Matches
46,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,39.5,28.8,39.5,0.00,0.00,0.00,22.0,0.00,0.00,,0.00,0.00,16.8,98.8,56.3,0.00,0.00,0.00,0.00,0.00,12.8,12.8,100.0,0.00,Matches
47,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,50.6,3.44,12.5,25.9,15.0,1.56,49.1,0.31,0.31,100.0,0.31,0.00,28.8,122.2,65.9,4.06,1.56,0.63,1.25,1.25,35.9,28.1,78.3,3.44,Matches
48,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,37.3,34.5,37.3,0.00,0.00,0.00,24.5,0.00,0.00,,0.00,0.00,18.2,108.0,62.2,0.00,0.00,0.00,0.00,0.00,12.8,12.8,100.0,0.00,Matches
49,Antonio Barreca\Antonio-Barreca,it ITA,DF,fr Monaco,23,1995,1.0,96.0,2.00,19.0,49.0,35.0,1.00,84.0,1.00,1.00,100.0,1.00,0.00,76.0,359.0,269.0,11.0,3.00,0.00,3.00,4.00,82.0,77.0,93.9,5.00,Matches
50,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,it Juventus,37,1981,1.2,71.7,5.00,25.8,41.7,5.00,0.83,69.2,0.00,1.67,0.0,0.00,0.00,52.5,134.2,49.2,0.83,0.83,0.00,0.83,0.00,54.2,51.7,95.4,0.00,Matches
51,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,44.2,0.53,3.42,26.3,17.4,6.05,41.8,2.11,4.47,47.1,2.11,0.26,33.4,106.1,44.5,1.84,0.79,0.79,1.84,2.11,54.5,33.2,60.9,11.3,Matches
52,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,39.0,29.5,38.7,1.00,0.00,0.00,27.5,0.00,0.00,,0.00,0.00,17.2,76.2,45.7,0.00,0.00,0.00,0.00,0.00,16.0,15.8,99.0,0.00,Matches
53,Ömer Bayram\Omer-Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,101.7,5.00,16.7,66.7,21.7,0.00,91.7,1.67,1.67,100.0,1.67,0.00,73.3,286.7,155.0,10.0,0.00,0.00,1.67,5.00,75.0,71.7,95.6,0.00,Matches
54,Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,pt Porto,21,1996,0.1,110.0,0.00,20.0,60.0,30.0,30.0,110.0,0.00,0.00,,0.00,0.00,80.0,200.0,90.0,10.0,0.00,10.0,0.00,0.00,100.0,100.0,100.0,10.0,Matches
55,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,ru CSKA Moscow,22,1996,6.0,49.7,7.17,26.0,24.0,1.00,0.50,48.3,0.17,0.33,50.0,0.33,0.00,29.2,113.0,53.3,1.00,0.00,0.00,0.33,0.17,30.2,29.2,96.7,0.33,Matches
56,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,21,1997,10.9,40.3,1.01,5.41,20.1,16.4,4.40,38.9,1.10,2.02,54.5,1.28,0.09,25.5,93.0,55.5,3.12,1.10,0.37,1.28,0.83,35.9,24.5,68.3,6.97,Matches
57,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,de Hoffenheim,26,1992,3.8,33.9,0.79,2.89,13.4,19.2,7.63,33.9,0.26,0.53,50.0,0.26,0.00,23.2,151.1,77.4,3.16,1.05,0.26,2.11,1.32,40.3,26.6,66.0,12.4,Matches
58,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,59.2,0.56,6.94,32.2,23.6,1.11,52.8,1.94,2.78,70.0,2.22,0.28,41.9,207.2,106.9,7.22,1.67,0.00,1.94,1.67,44.2,38.9,88.1,5.56,Matches
59,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,28.4,25.3,28.4,0.00,0.00,0.00,18.4,0.00,0.00,,0.00,0.00,14.2,68.9,36.9,0.00,0.00,0.00,0.00,0.00,11.8,11.8,100.0,0.00,Matches
60,Medhi Benatia\Medhi-Benatia,ma MAR,DF,it Juventus,31,1987,1.0,81.0,10.0,29.0,53.0,1.00,0.00,81.0,0.00,0.00,,0.00,0.00,68.0,216.0,121.0,5.00,1.00,0.00,0.00,0.00,67.0,67.0,100.0,0.00,Matches
61,Loris Benito\Loris-Benito,ch SUI,DF,ch Young Boys,26,1992,6.0,60.0,5.50,17.0,30.8,15.2,0.50,55.0,0.17,0.50,33.3,0.33,0.00,37.0,179.3,91.7,3.83,0.83,0.00,0.67,0.00,37.0,34.0,91.9,2.00,Matches
62,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,57.7,1.49,10.9,39.6,10.2,0.85,54.5,1.49,2.55,58.3,2.34,0.00,37.9,157.9,78.7,2.98,0.85,0.00,0.64,1.06,36.2,34.0,94.1,1.70,Matches
