Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
35,Roger Assalé\Roger-Assale,ci CIV,FWMF,ch Young Boys,24,1993,4.2,27.1,26.0,1.19,0.00,0.00,4.05,0.48,1.90,0.00,0.00,0.00,0.00,21.0,1.90,4.29,5.00,20.5,0.95,0.24,0.48,20.7,0.48,0.48,0.71,1.43,Matches
36,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,61.9,52.1,9.79,0.63,0.00,13.5,1.25,3.54,0.00,0.00,0.00,0.00,39.4,13.8,8.75,5.21,41.9,4.58,9.17,0.00,47.1,0.00,0.63,1.04,2.50,Matches
37,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Serdar Aziz\Serdar-Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,63.0,61.3,1.75,1.75,0.00,6.50,3.50,0.00,0.00,0.00,0.00,0.00,49.8,7.00,6.25,11.0,45.5,5.00,0.00,0.25,55.8,0.00,0.75,0.75,0.25,Matches
39,Srđan Babić\Srdjan-Babic,rs SRB,DF,rs Red Star,22,1996,2.5,40.8,40.4,0.40,0.40,0.00,5.60,0.40,0.00,0.00,0.00,0.00,0.00,30.0,4.00,6.80,30.4,6.00,3.60,0.00,0.00,32.0,0.00,0.40,0.80,0.00,Matches
40,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,30.0,15.0,15.0,5.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,20.0,2.00,26.0,0.00,0.00,1.00,18.0,0.00,2.00,0.00,1.00,Matches
41,Eric Bailly\Eric-Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,36.2,34.1,2.06,1.47,0.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,27.6,2.06,6.47,4.12,29.4,1.47,0.59,0.29,30.3,0.00,0.88,0.29,0.00,Matches
42,Michalis Bakakis\Michalis-Bakakis,gr GRE,DFFW,gr AEK Athens,27,1991,5.8,41.2,32.4,8.79,0.17,0.00,4.66,0.34,1.03,0.00,0.00,0.00,0.00,20.3,7.24,13.6,3.97,24.1,3.28,8.62,0.52,29.8,0.34,0.69,0.52,1.90,Matches
43,Anastasios Bakasetas\Anastasios-Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,54.5,51.0,3.50,1.00,1.00,12.0,2.50,2.00,2.00,0.00,0.00,0.00,41.5,1.50,11.5,37.5,13.0,2.50,0.50,0.50,43.5,0.00,1.50,1.00,2.00,Matches
44,Keita Baldé\Keita-Balde,sn SEN,FWMF,it Inter,23,1995,0.8,28.8,28.8,0.00,0.00,0.00,10.0,2.50,3.75,0.00,0.00,0.00,0.00,21.3,3.75,3.75,7.50,18.8,2.50,0.00,0.00,23.8,0.00,1.25,1.25,0.00,Matches
