Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
34,Neto\Neto,br BRA,GK,es Valencia,29,1989,5.0,1.00,0.60,0.00,0.00,0.00,1.88,0.33,0.88,+0.89,5.60,14.4,38.9,15.2,5.20,59.2,43.8,8.00,67.5,53.3,11.4,0.80,7.0,0.20,0.20,2.58,Matches
35,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,32,1986,8.0,1.00,0.13,0.00,0.13,0.00,1.19,0.29,0.19,+0.19,7.88,15.9,49.6,36.3,5.63,36.6,33.8,6.25,42.0,40.3,6.75,0.25,3.7,0.63,0.63,1.76,Matches
36,Alexander Nübel\Alexander-Nubel,de GER,GK,de Schalke 04,21,1996,2.0,0.00,0.00,0.00,0.00,0.00,0.30,0.19,0.30,+0.28,5.00,13.0,38.5,19.0,3.50,44.7,41.1,7.00,64.3,51.2,3.50,1.00,28.6,0.50,0.50,6.95,Matches
37,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,25,1993,8.0,1.13,0.13,0.00,0.00,0.00,0.90,0.33,-0.23,-0.23,5.00,14.3,35.1,12.8,1.00,57.8,43.5,7.38,93.2,61.4,7.75,0.88,11.3,0.13,0.13,1.64,Matches
38,Robin Olsen\Robin-Olsen,se SWE,GK,it Roma,28,1990,6.3,1.43,0.16,0.16,0.16,0.00,1.89,0.30,0.46,+0.46,6.51,16.3,39.8,26.5,6.67,39.5,36.3,8.89,66.1,52.2,9.37,0.95,10.2,0.16,0.16,2.21,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,22,1996,12.0,1.08,0.08,0.00,0.17,0.00,1.47,0.35,0.38,+0.38,4.25,15.8,27.0,25.5,4.33,44.4,38.6,7.25,60.9,51.3,6.58,0.83,12.7,0.42,0.42,1.18,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,29,1988,6.0,0.83,0.00,0.00,0.00,0.17,0.83,0.24,0.17,+0.16,6.33,16.0,39.6,28.8,5.00,41.0,35.8,6.83,61.0,46.7,7.33,0.50,6.8,0.67,0.67,2.33,Matches
41,Ilya Pomazun\Ilya-Pomazun,ru RUS,GK,ru CSKA Moscow,21,1996,1.0,3.00,0.00,0.00,0.00,0.00,3.80,0.29,0.80,+0.80,2.00,23.0,8.7,28.0,11.0,50.0,47.3,10.0,90.0,61.7,9.00,1.00,11.1,1.00,1.00,14.5,Matches
42,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,34,1984,6.0,2.67,0.33,0.00,0.33,0.00,2.28,0.35,-0.38,-0.38,8.17,18.0,45.4,30.7,7.50,41.3,37.1,9.67,55.2,46.3,10.5,2.00,19.0,0.83,0.83,2.63,Matches
43,Sergio Romero\Sergio-Romero,ar ARG,GK,eng Manchester Utd,31,1987,1.0,2.00,0.00,0.00,0.00,1.00,1.30,0.32,0.30,+0.26,10.0,22.0,45.5,21.0,3.00,66.7,43.3,11.0,72.7,54.6,9.00,0.00,0.0,0.00,0.00,14.0,Matches
44,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,33,1984,0.5,6.00,0.00,0.00,0.00,0.00,2.60,0.25,-3.40,-3.40,2.00,14.0,14.3,14.0,0.00,85.7,68.6,8.00,25.0,32.0,2.00,0.00,0.0,0.00,0.00,20.0,Matches
45,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,28,1990,10.0,0.90,0.10,0.10,0.20,0.10,0.97,0.26,0.17,+0.17,7.40,13.7,54.0,21.7,3.60,42.9,39.3,7.20,61.1,50.3,6.90,0.20,2.9,0.90,0.90,1.40,Matches
46,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,26,1992,11.0,0.82,0.00,0.00,0.27,0.00,0.94,0.28,0.12,+0.12,6.73,12.1,55.6,27.3,5.36,31.3,32.5,6.82,52.0,42.1,8.45,0.55,6.5,0.27,0.27,1.25,Matches
47,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,24,1994,6.0,1.83,0.00,0.00,0.50,0.00,1.98,0.33,0.15,+0.14,7.00,16.7,42.0,24.8,4.17,55.7,43.8,5.50,51.5,46.6,3.67,0.67,18.2,0.67,0.67,2.80,Matches
48,Michel Vorm\Michel-Vorm,nl NED,GK,eng Tottenham,34,1983,1.1,2.73,0.00,0.00,0.91,0.00,1.36,0.30,-1.36,-1.33,4.55,10.9,41.7,31.8,10.9,20.0,28.2,16.4,27.8,39.2,11.8,1.82,15.4,0.00,0.00,10.7,Matches
49,Marco Wölfli\Marco-Wolfli,ch SUI,GK,ch Young Boys,35,1982,2.0,1.00,0.00,0.00,0.00,0.00,1.75,0.35,0.75,+0.73,16.0,29.5,54.2,29.0,4.50,69.0,52.8,10.0,95.0,61.7,13.0,1.00,7.7,0.00,0.00,6.65,Matches
50,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,nl PSV Eindhoven,27,1991,6.0,2.17,0.00,0.17,0.00,0.00,2.37,0.28,0.20,+0.20,9.17,23.2,39.6,21.5,4.17,62.8,47.6,12.2,79.5,61.7,15.0,1.00,6.7,0.17,0.17,1.85,Matches
