Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
eng Manchester Utd,26,26.2,45.5,10,110,900,10.0,0.90,0.50,0.70,0.20,0.20,0.30,0.10,0.90,0.50,1.40,0.70,1.20,1.09,0.94,0.64,1.58,1.09,0.64,1.73,0.94,1.58
fr Monaco,29,25.0,44.8,6,66,540,6.0,0.33,0.17,0.33,0.00,0.17,2.17,0.00,0.33,0.17,0.50,0.33,0.50,0.78,0.67,0.52,1.17,0.79,0.51,1.30,0.66,1.17
it Napoli,18,28.2,56.2,6,66,540,6.0,1.17,0.83,1.00,0.17,0.17,2.17,0.00,1.17,0.83,2.00,1.00,1.83,1.68,1.55,1.20,2.75,1.68,1.21,2.88,1.55,2.76
fr Paris S-G,20,27.0,58.6,8,88,720,8.0,2.38,1.75,2.38,0.00,0.00,1.38,0.00,2.37,1.75,4.12,2.37,4.12,1.88,1.88,1.52,3.41,1.88,1.53,3.41,1.88,3.41
pt Porto,25,27.9,53.0,10,110,930,10.3,1.94,1.46,1.55,0.39,0.49,1.17,0.00,1.94,1.45,3.39,1.55,3.00,1.54,1.17,0.94,2.12,1.53,0.94,2.47,1.17,2.11
nl PSV Eindhoven,18,24.4,32.5,6,66,540,6.0,1.00,0.83,1.00,0.00,0.00,2.33,0.00,1.00,0.83,1.83,1.00,1.83,1.23,1.23,0.80,2.03,1.23,0.80,2.03,1.23,2.03
es Real Madrid,24,27.0,62.0,8,88,720,8.0,1.88,1.50,1.88,0.00,0.00,1.00,0.13,1.87,1.50,3.38,1.87,3.38,1.77,1.77,1.56,3.34,1.77,1.57,3.34,1.77,3.34
rs Red Star,20,26.8,30.7,6,66,540,6.0,0.83,0.50,0.83,0.00,0.00,2.83,0.00,0.83,0.50,1.33,0.83,1.33,0.45,0.45,0.35,0.80,0.45,0.35,0.80,0.45,0.80
it Roma,24,27.4,49.4,8,88,750,8.3,1.69,1.45,1.57,0.12,0.12,0.72,0.12,1.68,1.44,3.12,1.56,3.00,1.64,1.55,1.20,2.76,1.64,1.20,2.84,1.55,2.75
de Schalke 04,27,26.2,42.0,8,88,720,8.0,1.00,0.50,0.63,0.38,0.38,1.50,0.00,1.00,0.50,1.50,0.62,1.13,1.30,1.02,0.60,1.63,1.30,0.60,1.90,1.02,1.62
ua Shakhtar,20,27.5,49.0,6,66,540,6.0,1.33,1.33,1.33,0.00,0.00,1.67,0.00,1.33,1.33,2.67,1.33,2.67,0.95,0.95,0.78,1.73,0.95,0.78,1.73,0.95,1.73
eng Tottenham,24,27.0,52.4,13,143,1170,13.0,1.54,1.31,1.54,0.00,0.00,0.15,0.00,1.54,1.31,2.85,1.54,2.85,1.48,1.48,1.08,2.55,1.48,1.08,2.56,1.48,2.56
es Valencia,22,25.9,50.2,6,66,540,6.0,0.83,0.33,0.83,0.00,0.17,3.33,0.00,0.83,0.33,1.17,0.83,1.17,1.10,0.97,0.73,1.70,1.10,0.73,1.83,0.97,1.69
cz Viktoria Plzeň,21,29.6,38.8,6,66,540,6.0,1.17,1.00,1.17,0.00,0.17,1.67,0.00,1.17,1.00,2.17,1.17,2.17,1.17,1.05,0.83,1.88,1.17,0.84,2.01,1.05,1.88
ch Young Boys,20,26.1,41.5,6,66,540,6.0,0.67,0.17,0.33,0.33,0.33,2.50,0.33,0.67,0.17,0.83,0.33,0.50,1.18,0.93,0.70,1.63,1.18,0.70,1.88,0.93,1.63
