Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
185,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,21,1996,18.9,24.3,34.4,70.7,431.1,88.4,11.4,13.8,82.8,8.84,11.6,76.3,3.07,6.51,47.2,0.05,0.17,-0.12,1.43,1.43,0.85,0.37,1.43,Matches
186,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,26,1991,32.5,30.0,43.8,68.4,559.6,175.8,14.0,16.8,83.2,10.0,13.7,73.3,4.92,10.8,45.6,0.25,0.18,0.07,2.31,2.71,1.32,0.62,2.68,Matches
187,Marko Grujić\Marko-Grujic,rs SRB,MF,Liverpool,21,1996,0.2,65.0,80.0,81.3,1265.0,355.0,25.0,35.0,71.4,35.0,35.0,100.0,5.00,10.0,50.0,0.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,Matches
188,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,26,1990,16.9,74.6,81.8,91.2,1204.3,276.7,39.5,42.2,93.6,27.7,29.3,94.4,6.09,7.69,79.2,0.06,0.11,-0.05,1.18,6.63,1.89,0.00,6.86,Matches
189,Florent Hadergjonaj\Florent-Hadergjonaj,xk KVX,DFMF,Huddersfield,23,1994,18.6,30.8,47.6,64.7,589.5,277.9,13.6,16.4,83.0,11.6,17.5,66.2,5.05,12.2,41.4,0.05,0.09,-0.04,1.34,2.85,1.34,0.86,3.76,Matches
190,Massadio Haïdara\Massadio-Haidara,ml MLI,FWMF,Newcastle Utd,24,1992,0.0,2,2,100.0,22,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
191,Ben Hamer\Ben-Hamer,eng ENG,GK,Leicester City,29,1987,3.1,13.9,21.3,65.2,501.6,357.7,1.61,1.94,83.3,5.81,5.81,100.0,6.45,13.5,47.6,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,Matches
192,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,17,2000,0.2,20.0,25.0,80.0,510.0,185.0,5.00,5.00,100.0,10.0,15.0,66.7,5.00,5.00,100.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
193,Joe Hart\Joe-Hart,eng ENG,GK,West Ham,30,1987,19.0,12.8,25.7,49.9,631.8,501.3,0.74,0.79,93.3,2.74,2.79,98.1,9.37,22.1,42.5,0.05,0.04,0.02,0.05,1.37,0.11,0.00,0.00,Matches
194,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,22,1995,15.3,25.7,34.6,74.2,425.6,110.1,12.2,15.0,81.3,11.0,13.7,80.0,1.83,3.53,51.9,0.00,0.07,-0.07,0.78,2.35,0.72,0.39,2.09,Matches
195,Eden Hazard\Eden-Hazard,be BEL,FWMF,Chelsea,26,1991,26.9,43.5,52.9,82.2,778.2,211.1,22.2,26.4,84.2,13.5,16.1,83.9,6.47,7.51,86.1,0.15,0.26,-0.12,3.09,4.20,3.05,0.30,7.06,Matches
196,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,31,1986,3.4,15.3,27.1,56.5,682.9,516.5,0.29,0.29,100.0,5.88,5.88,100.0,9.12,20.9,43.7,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,Matches
197,Michael Hefele\Michael-Hefele,de GER,DF,Huddersfield,26,1990,0.4,20.0,22.5,88.9,315.0,77.5,10.0,12.5,80.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,Matches
198,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,26,1991,37.6,22.8,32.0,71.2,553.4,242.9,5.37,6.68,80.5,10.8,13.4,80.6,6.25,10.8,57.9,0.00,0.01,-0.01,0.16,1.68,0.29,0.08,1.78,Matches
199,Tomer Hemed\Tomer-Hemed,il ISR,FW,Brighton,30,1987,9.4,16.6,25.7,64.5,224.9,44.8,10.5,14.9,70.7,4.68,7.13,65.7,0.64,1.49,42.9,0.21,0.03,0.18,0.43,1.06,0.11,0.00,1.60,Matches
200,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,27,1990,24.1,71.8,85.7,83.8,1541.1,362.3,22.7,24.9,91.2,34.2,38.9,88.0,14.0,19.8,70.9,0.04,0.08,-0.04,0.95,9.38,1.37,0.04,7.76,Matches
201,Jeff Hendrick\Jeff-Hendrick,ie IRL,MFFW,Burnley,25,1992,25.9,24.3,31.4,77.6,408.7,71.0,11.6,13.9,83.8,9.38,11.4,82.1,2.43,4.02,60.6,0.08,0.06,0.02,0.89,1.78,0.66,0.08,1.93,Matches
202,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,30,1987,27.0,12.3,24.3,50.5,599.4,493.1,0.93,0.96,96.2,3.19,3.22,98.9,8.11,20.0,40.5,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,Matches
