Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
32,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,32,1984,21.2,0.99,0.42,0.80,0.09,0.09,0.42,0.80,52.9,0.38,9.29,1.84,19.8,5.09,2.88,1.32,1.60,0.24,0.00,1.37,0.94,1.93,1.04,0.00,Matches
33,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,2.63,1.86,1.31,1.10,0.21,0.76,1.99,38.3,1.23,20.5,6.19,30.2,7.84,10.3,2.42,1.61,0.21,0.00,1.40,1.31,3.94,1.19,0.00,Matches
34,Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,7.50,75.0,0.00,2.50,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,18,1998,2.2,4.09,1.36,1.36,1.82,0.91,0.91,2.27,40.0,1.36,24.5,7.73,31.5,8.64,13.6,2.27,3.18,0.45,0.00,2.73,1.82,5.91,0.00,0.00,Matches
36,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,32,1985,12.5,1.84,1.44,1.12,0.48,0.24,0.80,1.52,52.6,0.72,14.5,3.68,25.4,8.40,5.28,0.80,2.48,0.48,0.08,2.00,1.68,3.52,4.08,0.00,Matches
37,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Chelsea,23,1993,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,1.43,14.3,5.00,2.14,2.86,2.14,0.71,0.00,1.43,0.00,0.00,0.71,0.00,Matches
38,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,27,1989,24.1,0.50,0.41,0.04,0.37,0.08,0.21,0.71,29.4,0.50,19.4,5.10,26.3,1.78,9.13,8.51,1.49,0.25,0.00,1.24,0.33,0.83,0.71,0.00,Matches
39,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,19,1997,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,0.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,36,1981,21.4,1.78,1.12,1.12,0.47,0.19,0.47,1.68,27.8,1.21,17.0,4.25,25.1,6.36,9.07,1.54,1.82,0.65,0.00,1.17,0.61,2.38,1.36,0.00,Matches
41,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,26,1991,2.6,0.77,0.38,0.77,0.00,0.00,0.38,1.15,33.3,0.77,4.23,0.77,18.2,3.08,1.15,0.00,3.46,3.08,0.00,0.38,1.15,1.92,6.92,0.00,Matches
