Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,36,34,2958,32.9,0.27,0.30,0.27,0.00,0.00,0.21,0.00,0.27,0.30,0.58,0.27,0.58,0.28,0.28,0.24,0.52,0.28,0.24,0.52,0.28,0.52,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,33,33,2855,31.7,0.22,0.06,0.22,0.00,0.00,0.19,0.00,0.22,0.06,0.28,0.22,0.28,0.13,0.13,0.07,0.20,0.13,0.07,0.20,0.13,0.20,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,5.4,0.00,0.00,0.00,0.00,0.00,0.19,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.02,0.06,0.08,0.02,0.08,Matches
19,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,21,16,1354,15.0,0.20,0.07,0.20,0.00,0.00,0.07,0.00,0.20,0.07,0.27,0.20,0.27,0.16,0.16,0.04,0.19,0.16,0.04,0.19,0.16,0.19,Matches
20,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,18,15,1333,14.8,0.14,0.07,0.14,0.00,0.00,0.20,0.00,0.14,0.07,0.20,0.14,0.20,0.08,0.08,0.03,0.11,0.08,0.03,0.11,0.08,0.11,Matches
21,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,31,28,2313,25.7,0.43,0.23,0.43,0.00,0.00,0.19,0.04,0.43,0.23,0.66,0.43,0.66,0.39,0.39,0.17,0.56,0.39,0.17,0.56,0.39,0.56,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,10.7,0.09,0.00,0.09,0.00,0.00,0.37,0.00,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.02,0.07,0.04,0.02,0.07,0.04,0.07,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,28,19,1784,19.8,0.10,0.10,0.10,0.00,0.00,0.05,0.00,0.10,0.10,0.20,0.10,0.20,0.17,0.17,0.14,0.30,0.17,0.14,0.31,0.17,0.31,Matches
