Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
32,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,32,1984,21.2,52.3,2.41,15.5,23.3,16.4,0.85,44.2,0.38,0.61,61.5,0.38,0.05,29.9,146.9,79.7,3.73,1.13,0.19,0.24,0.42,32.7,30.8,94.1,0.99,Matches
33,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,58.9,2.16,13.4,34.6,15.2,2.16,58.6,0.97,1.61,60.5,1.06,0.00,39.2,202.1,103.4,4.36,1.65,0.17,1.40,1.14,46.0,40.1,87.2,3.60,Matches
34,Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,0.4,25.0,0.00,0.00,7.50,20.0,7.50,22.5,0.00,0.00,,0.00,0.00,22.5,57.5,45.0,5.00,2.50,2.50,2.50,5.00,25.0,22.5,90.0,17.5,Matches
35,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,18,1998,2.2,48.6,0.91,10.5,30.9,11.4,0.00,48.6,0.91,2.27,40.0,0.91,0.00,31.8,193.2,92.3,4.09,1.36,0.00,0.00,0.91,28.2,26.4,93.5,0.91,Matches
36,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,32,1985,12.5,58.3,5.28,18.2,28.7,12.6,0.24,47.1,0.32,0.56,57.1,0.32,0.00,25.4,110.6,45.6,1.44,0.64,0.00,0.40,0.48,24.6,22.8,92.8,0.80,Matches
37,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Chelsea,23,1993,1.4,46.4,0.71,4.29,20.7,23.6,4.29,46.4,2.14,2.14,100.0,2.14,0.00,37.1,205.7,88.6,2.14,1.43,0.00,1.43,2.14,47.1,37.9,80.3,7.86,Matches
38,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,27,1989,24.1,34.3,0.95,3.40,14.1,18.7,4.48,33.8,0.66,1.08,61.5,0.66,0.08,19.8,78.7,34.6,1.91,0.58,0.41,3.11,1.62,45.6,24.0,52.5,9.05,Matches
39,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,19,1997,0.1,90.0,0.00,0.00,30.0,60.0,30.0,90.0,0.00,0.00,,0.00,0.00,40.0,70.0,10.0,0.00,0.00,0.00,10.0,0.00,70.0,60.0,85.7,30.0,Matches
40,Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,36,1981,21.4,52.1,2.24,12.2,33.0,10.1,0.75,50.9,0.51,0.70,73.3,0.56,0.00,31.9,159.8,75.7,2.34,1.36,0.00,0.70,0.61,32.7,30.0,92.0,2.38,Matches
41,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,26,1991,2.6,58.5,10.4,37.3,20.0,3.46,1.92,58.5,0.00,0.00,,0.00,0.00,31.9,168.8,81.9,1.92,0.77,0.00,0.00,0.38,33.5,32.7,97.7,1.92,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,23,1993,4.0,36.8,1.25,1.75,18.8,19.0,4.50,35.5,1.50,2.00,75.0,2.00,0.00,26.5,117.0,72.5,3.50,1.50,0.50,4.00,3.25,52.3,28.8,55.0,14.0,Matches
43,Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,25,1992,14.5,40.3,2.62,13.5,14.9,14.2,0.83,32.3,0.48,1.24,38.9,0.62,0.00,19.4,121.7,62.1,2.97,0.97,0.28,0.97,0.69,21.2,17.4,82.1,1.86,Matches
44,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,21,1996,4.7,47.2,5.32,22.8,24.5,1.49,0.43,44.5,0.00,0.00,,0.00,0.00,27.4,107.9,49.1,1.06,0.00,0.00,0.43,0.21,26.0,25.5,98.4,0.43,Matches
45,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38.0,28.7,26.5,28.6,0.11,0.00,0.00,21.1,0.00,0.00,,0.00,0.00,12.7,60.2,34.6,0.00,0.00,0.00,0.03,0.00,9.29,9.26,99.7,0.00,Matches
46,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,22,1995,33.9,72.5,3.51,18.1,30.0,28.6,3.30,66.6,0.83,1.65,50.0,1.00,0.12,47.5,227.0,130.6,6.14,1.68,0.59,1.09,0.71,53.8,48.1,89.5,4.90,Matches
