Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
54,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,630,90,18.4,7.0,1.00,90,1.00,0.00,,2.14,0.71,1.43,2.86,-1.43,-1.43,-0.24,1.10,2.29,-1.19,-1.19,-0.63,Matches
55,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,2188,81,64.0,24.3,1.03,85,0.78,0.08,28,0.04,0.52,0.62,1.77,-1.15,-1.15,+0.75,0.78,1.46,-0.67,-0.68,+0.64,Matches
56,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,1774,63,51.9,19.7,0.86,88,0.56,0.56,26,0.30,0.93,0.81,1.62,-0.81,-0.81,-0.32,0.85,1.54,-0.69,-0.69,-0.23,Matches
57,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,27,1991,36,3167,88,92.6,35.2,1.02,88,0.97,0.00,,0.00,1.42,1.14,1.16,-0.03,-0.03,-0.74,1.31,1.06,0.25,+0.25,-0.56,Matches
58,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,7,135,19,3.9,1.5,0.00,,0.00,4.67,18,8.00,1.43,2.67,0.00,2.67,+2.67,+2.75,3.80,0.60,3.13,+3.15,+2.97,Matches
59,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,22,1808,82,52.9,20.1,0.95,90,0.95,0.15,32,0.80,0.77,0.90,1.69,-0.80,-0.80,-0.29,0.96,1.75,-0.79,-0.79,-0.45,Matches
60,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,1080,90,31.6,12.0,1.00,90,1.00,0.00,,2.17,1.25,1.67,1.50,0.17,+0.17,+0.78,1.40,1.58,-0.18,-0.18,-0.17,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,16,720,45,21.1,8.0,0.75,85,0.25,1.25,21,0.63,0.69,1.00,2.00,-1.00,-1.00,-0.50,1.41,1.71,-0.30,-0.31,+0.32,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,35,1983,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,3,185,62,5.4,2.1,0.95,86,0.48,0.48,13,4.29,0.33,0.95,2.38,-1.43,-1.46,-1.35,0.86,2.00,-1.14,-1.17,-1.06,Matches
64,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,30,2261,75,66.1,25.1,1.16,77,0.40,0.04,18,0.12,1.37,1.59,1.63,-0.04,-0.04,+0.97,1.43,1.35,0.09,+0.09,+0.45,Matches
65,Tyias Browning\Tyias-Browning,eng ENG,DF,Everton,24,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,37,1980,14,1131,81,33.1,12.6,1.11,81,0.71,0.00,,0.71,1.14,0.79,1.35,-0.56,-0.56,+0.15,0.77,1.41,-0.64,-0.65,-0.10,Matches
67,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,28,2345,84,68.6,26.1,1.03,86,0.80,0.04,13,0.15,0.75,0.84,2.07,-1.23,-1.23,+0.03,1.08,1.61,-0.52,-0.53,+0.46,Matches
68,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,26,1992,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
69,Matt Butcher\Matt-Butcher,eng ENG,MF,Bournemouth,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
70,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,360,90,10.5,4.0,1.00,90,1.00,0.00,,6.25,1.00,1.00,1.25,-0.25,-0.25,+0.46,0.68,1.55,-0.88,-0.89,-0.34,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,180,90,5.3,2.0,1.00,90,1.00,0.00,,18.0,2.00,1.00,0.00,1.00,+1.00,+0.39,1.10,0.45,0.65,+0.66,+0.05,Matches
72,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,2,24,12,0.7,0.3,0.00,,0.00,6.67,11,26.7,2.00,0.00,0.00,0.00,0.00,-0.64,1.67,1.00,0.33,+0.43,-0.18,Matches
73,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,31,2194,71,64.2,24.4,0.98,82,0.53,0.29,32,0.04,0.68,0.90,2.09,-1.19,-1.19,+0.13,1.03,1.56,-0.53,-0.53,+0.39,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,1784,51,52.2,19.8,0.96,85,0.66,0.81,11,0.10,1.40,1.46,1.31,0.15,+0.15,-0.12,1.29,1.11,0.18,+0.18,+0.29,Matches
75,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,1,1,1,0.0,0.0,0,,0,1,0,7,3.00,0,1,-1,-90.00,-91.79,0.0,0.2,-0.2,-16.29,-17.44,Matches
76,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,32,2569,80,75.1,28.5,1.09,83,0.70,0.04,7,0.04,0.88,0.88,1.86,-0.98,-0.98,-0.24,0.91,1.61,-0.70,-0.70,-0.47,Matches
77,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,33,2944,89,86.1,32.7,1.01,89,0.92,0.00,,0.00,1.36,1.35,1.47,-0.12,-0.12,+0.44,1.22,1.39,-0.18,-0.18,-0.05,Matches
78,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,12,461,38,13.5,5.1,0.59,69,0.20,1.76,28,0.78,1.42,0.78,1.37,-0.59,-0.59,-0.59,1.35,1.63,-0.25,-0.26,+0.06,Matches
79,Lewis Cass\Lewis-Cass,eng ENG,DF,Newcastle Utd,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
80,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,33,2771,84,81.0,30.8,1.04,86,0.71,0.03,14,0.03,1.45,1.20,1.27,-0.06,-0.06,-0.48,1.23,1.06,0.18,+0.18,-0.61,Matches
81,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,36,3096,86,90.5,34.4,1.02,88,0.90,0.03,8,0.03,1.36,1.42,1.57,-0.15,-0.15,+0.41,1.28,1.42,-0.14,-0.14,+0.34,Matches
82,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,23,693,30,20.3,7.7,0.78,68,0.00,2.21,17,1.17,1.48,1.30,1.43,-0.13,-0.13,-0.20,1.35,1.06,0.29,+0.29,-0.01,Matches
83,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,584,83,17.1,6.5,1.08,83,0.92,0.00,,4.46,2.14,1.85,1.38,0.46,+0.46,-0.14,1.20,1.32,-0.12,-0.13,-0.23,Matches
84,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,9,270,30,7.9,3.0,1.00,75,0.33,2.00,8,3.67,1.22,0.33,2.33,-2.00,-2.00,-1.97,1.10,1.60,-0.50,-0.49,-0.35,Matches
85,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,31,2588,83,75.7,28.8,1.01,89,0.97,0.07,11,0.07,0.84,0.90,1.81,-0.90,-0.90,+1.37,1.09,1.53,-0.45,-0.45,+0.91,Matches
86,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,3240,90,94.7,36.0,1.00,90,1.00,0.00,,0.00,1.44,1.39,1.19,0.19,+0.19,+2.19,1.31,1.14,0.18,+0.18,-0.06,Matches
87,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,2,38,19,1.1,0.4,0.00,,0.00,5.00,18,2.50,2.00,0.00,2.50,-2.50,-2.37,-2.69,2.00,1.25,0.75,+0.77,+0.47,Matches
88,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,9,595,66,17.4,6.6,1.06,82,0.61,0.30,9,0.61,1.89,0.76,0.61,0.15,+0.15,+0.09,0.92,1.27,-0.35,-0.35,-0.64,Matches
89,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,8,617,77,18.0,6.9,0.87,90,0.87,0.29,38,3.19,1.75,2.32,1.01,1.30,+1.31,+0.83,1.75,0.90,0.86,+0.86,+0.30,Matches
90,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,28,1948,70,57.0,21.6,0.88,85,0.69,0.42,36,0.46,0.75,0.79,1.94,-1.16,-1.16,+0.19,0.98,1.64,-0.66,-0.66,+0.03,Matches
91,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,3,88,29,2.6,1.0,1.00,62,0.00,2.00,13,8.00,0.00,0.00,4.00,-4.00,-4.09,-2.93,0.50,2.90,-2.40,-2.49,-1.86,Matches
92,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,11,858,78,25.1,9.5,0.95,89,0.84,0.21,29,0.95,0.91,0.95,1.58,-0.63,-0.63,-0.63,0.82,1.54,-0.72,-0.72,-0.48,Matches
93,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,13,478,37,14.0,5.3,0.75,86,0.57,1.70,15,0.38,1.62,1.13,1.32,-0.19,-0.19,0.00,1.02,2.13,-1.11,-1.11,-1.10,Matches
94,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,14,1143,82,33.4,12.7,1.02,84,0.71,0.08,46,0.08,1.07,1.42,1.97,-0.55,-0.55,-0.27,1.25,1.60,-0.34,-0.34,-0.41,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,4,111,28,3.2,1.2,0.83,93,0.83,2.50,6,1.67,3.00,3.33,0.83,2.50,+2.43,+0.69,2.83,1.00,1.83,+1.78,+0.65,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38,3420,90,100.0,38.0,1.00,90,1.00,0.00,,0.00,1.50,1.24,1.21,0.03,+0.03,,1.31,1.02,0.29,+0.30,,Matches
97,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,90,90,2.6,1.0,1.00,90,1.00,0.00,,7.00,1.00,1.00,1.00,0.00,0.00,+1.46,1.10,0.50,0.60,+0.61,+1.56,Matches
98,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,29,2558,88,74.8,28.4,1.02,88,0.95,0.00,,0.11,1.62,1.51,1.06,0.46,+0.46,+0.98,1.24,1.14,0.10,+0.10,+0.24,Matches
99,Matthew Connolly\Matthew-Connolly,eng ENG,DF,Cardiff City,30,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
100,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,13,723,56,21.1,8.0,1.00,85,0.63,0.63,9,0.25,1.54,1.88,1.25,0.63,+0.62,+1.26,1.55,1.46,0.09,+0.09,+0.20,Matches
101,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31,2786,90,81.5,31.0,1.00,90,0.97,0.00,,0.00,1.29,1.55,1.81,-0.26,-0.26,+0.59,1.41,1.45,-0.04,-0.04,+0.13,Matches
102,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,37,3312,90,96.8,36.8,1.01,90,0.98,0.00,,0.00,1.08,1.17,1.71,-0.54,-0.54,+1.96,1.12,1.62,-0.50,-0.50,+1.81,Matches
103,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,25,1341,54,39.2,14.9,1.07,72,0.13,0.60,21,0.87,1.32,1.07,1.28,-0.20,-0.20,-0.37,1.26,0.91,0.35,+0.35,+0.09,Matches
104,Conor Coventry\Conor-Coventry,ie IRL,MF,West Ham,18,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
105,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,28,1989,20,1589,79,46.5,17.7,1.02,85,0.90,0.11,30,0.40,1.30,1.19,1.47,-0.28,-0.28,-0.38,1.18,1.45,-0.27,-0.27,+0.08,Matches
106,Peter Crouch\Peter-Crouch,eng ENG,FW,Burnley,37,1981,6,92,15,2.7,1.0,0.00,,0.00,6.00,14,3.00,0.17,3.00,3.00,0.00,0.00,+0.62,3.60,2.10,1.50,+1.46,+2.07,Matches
107,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,27,1991,7,630,90,18.4,7.0,1.00,90,1.00,0.00,,2.86,0.86,0.71,2.43,-1.71,-1.71,-0.97,0.90,1.57,-0.67,-0.67,-0.11,Matches
108,Diogo Dalot\Diogo-Dalot,pt POR,DFMF,Manchester Utd,19,1999,16,1013,63,29.6,11.3,1.06,79,0.53,0.35,18,0.53,1.69,1.86,1.59,0.27,+0.27,-0.03,1.64,1.33,0.31,+0.31,0.00,Matches
109,Matty Daly\Matty-Daly,eng ENG,MF,Huddersfield,17,2001,2,75,38,2.2,0.8,0.00,,0.00,2.50,37,7.50,0.50,1.25,1.25,0.00,0.00,+1.45,0.87,1.50,-0.63,-0.61,+0.31,Matches
110,Loïc Damour\Loic-Damour,fr FRA,MF,Cardiff City,27,1991,2,23,12,0.7,0.3,0.00,,0.00,6.67,11,6.67,1.50,6.67,6.67,0.00,0.00,+0.93,3.33,3.33,0.00,-0.02,+0.56,Matches
111,Joe Daniel Tupper\Joe-Daniel-Tupper,eng ENG,GK,Crystal Palace,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
