Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,4.2,62.1,46.2,16.0,2.62,0.00,10.2,0.95,1.90,1.90,0.00,0.00,0.00,37.9,10.7,13.6,41.9,4.52,3.81,11.4,0.48,49.0,0.00,0.48,1.19,1.19,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,22.4,37.4,36.4,0.98,0.94,0.00,4.64,0.58,0.00,0.00,0.00,0.00,0.00,25.4,3.75,8.26,5.31,27.7,2.86,0.04,0.31,29.2,0.09,0.85,0.45,0.67,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,6.6,33.0,32.0,1.06,0.45,0.00,3.48,1.21,0.00,0.00,0.00,0.00,0.00,22.3,4.24,6.52,4.24,24.8,2.88,0.61,0.00,26.4,0.15,0.76,0.30,0.61,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,21.1,20.4,0.69,0.51,0.04,4.58,0.47,0.11,0.00,0.00,0.00,0.00,12.1,3.35,5.67,2.98,14.0,2.29,0.15,0.07,14.4,0.11,0.98,0.55,0.62,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,18.6,41.4,31.2,10.2,0.54,0.11,8.28,0.75,1.18,0.00,0.00,0.00,0.00,16.3,6.29,18.8,3.92,23.8,2.69,9.62,0.16,28.1,0.32,1.72,0.32,1.18,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,13.8,70.5,68.3,2.25,0.43,0.22,14.8,1.74,0.87,0.00,0.00,0.00,0.00,59.0,5.29,6.23,9.93,56.4,2.32,0.80,0.29,63.8,0.22,0.29,1.16,0.72,Matches
37,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,28,1989,26.5,21.1,20.2,0.87,0.04,0.26,6.42,0.26,0.49,0.04,0.00,0.00,0.00,10.2,5.28,5.58,3.21,11.4,3.36,0.08,0.91,13.1,0.26,0.94,0.38,1.06,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,11.2,30.7,30.4,0.27,0.09,0.18,7.68,0.36,2.59,0.00,0.00,0.00,0.00,22.1,5.71,2.95,5.54,23.2,1.16,0.09,0.54,22.9,0.00,0.45,1.52,1.70,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,0.1,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,20.0,30.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,8.3,19.5,19.0,0.48,0.00,0.00,6.63,0.36,0.36,0.00,0.00,0.00,0.00,11.9,4.10,3.49,5.30,11.6,0.84,0.00,0.96,13.4,0.12,0.24,0.60,1.20,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,23.9,35.5,32.4,3.14,0.84,0.04,6.23,0.50,0.04,0.00,0.00,0.00,0.00,19.7,3.77,12.1,4.23,23.4,3.97,2.30,0.13,24.7,0.13,0.92,0.42,0.50,Matches
42,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24.0,26.4,16.3,10.1,2.92,0.00,1.79,0.50,0.00,0.04,0.00,0.00,0.00,11.8,0.92,13.7,3.21,17.3,0.00,0.00,5.00,18.0,0.08,0.88,0.25,0.00,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,17.0,55.7,48.0,7.71,0.35,0.35,8.59,0.18,2.29,0.00,0.00,0.00,0.00,36.9,11.3,7.47,5.82,39.3,2.47,7.35,0.12,46.7,0.06,0.71,1.12,1.76,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,29.3,32.3,24.4,7.92,1.13,0.00,5.22,0.68,0.89,0.03,0.00,0.00,0.00,15.2,5.90,11.2,21.1,1.16,2.56,6.76,0.03,21.8,0.07,1.06,0.82,1.16,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34.0,40.8,38.8,1.97,0.44,0.03,5.47,1.24,0.12,0.00,0.00,0.00,0.00,26.1,4.38,10.3,4.09,30.3,3.41,1.53,0.12,32.2,0.12,0.88,0.32,0.21,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,9.0,27.0,25.7,1.33,0.11,0.22,10.1,0.67,0.22,0.00,0.00,0.00,0.00,10.7,6.22,10.1,1.78,13.1,4.67,0.00,0.67,15.4,0.00,0.56,1.00,0.78,Matches
