"","","","","","","","","Playing Time","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"606","582","Claudemir de Souza","br BRA","MF","Sivasspor","32-292","1988","14","840","60","54.9","9.3","9","83","6","5","18","3","1.21","12","13","-1","-0.11","+0.02","Matches"
"607","583","Josef de Souza","br BRA","MF","Besiktas","31-337","1989","11","898","82","58.7","10.0","10","85","8","1","45","0","2.00","24","12","+12","+1.20","+0.35","Matches"
"608","584","Furkan Soyalp","tr TUR","MF","Gaziantep FK","25-215","1995","11","169","15","11.0","1.9","1","64","0","10","11","6","2.00","2","3","-1","-0.53","-1.39","Matches"
"609","585","Bogdan Stancu","ro ROU","FW","Gençlerbirligi","33-199","1987","9","710","79","46.4","7.9","9","79","2","0","","1","1.22","6","8","-2","-0.25","+0.95","Matches"
"610","586","Neven Subotic","rs SRB","DF","Denizlispor","32-034","1988","5","405","81","26.5","4.5","4","90","4","1","45","3","0.80","4","6","-2","-0.44","+0.28","Matches"
"611","587","Burak Süleyman","tr TUR","FW","Göztepe","26-134","1994","5","77","15","5.0","0.9","0","","0","5","15","10","0.40","0","2","-2","-2.34","-2.52","Matches"
"612","588","Abdülkadir Sünger","tr TUR","GK","Denizlispor","20-234","2000","0","","","","","0","","0","0","","3","","","","","","","Matches"
"613","589","Ravil Tagir","tr TUR","DF","Basaksehir","17-252","2003","1","6","6","0.4","0.1","0","","0","1","6","7","1.00","0","2","-2","-30.00","-29.88","Matches"
"614","590","Montassar Talbi","tn TUN","DF","Rizespor","22-232","1998","5","450","90","29.4","5.0","5","90","5","0","","4","1.20","5","10","-5","-1.00","-0.75","Matches"
"615","591","Abdulkadir Tasdan","tr TUR","GK","Kayserispor","17-209","2003","0","","","","","0","","0","0","","2","","","","","","","Matches"
"616","592","Emre Tasdemir","tr TUR","DF","Galatasaray","25-158","1995","8","511","64","33.4","5.7","5","86","3","3","27","4","2.00","17","5","+12","+2.11","+1.41","Matches"
"617","593","Ertugrul Taskiran","tr TUR","GK","Kasimpasa","31-069","1989","3","270","90","17.6","3.0","3","90","3","0","","12","0.33","2","8","-6","-2.00","-1.93","Matches"
"618","594","Efe Tatli","tr TUR","MF","Fatih Karagümrük","18-168","2002","0","","","","","0","","0","0","","8","","","","","","","Matches"
"619","595","Adolphe Teikeu","cm CMR","DF","Erzurum BB","30-204","1990","6","530","88","32.7","5.9","6","88","5","0","","7","0.67","6","13","-7","-1.19","-0.36","Matches"
"620","596","Mahmut Tekdemir","tr TUR","MF","Basaksehir","32-359","1988","14","900","64","58.8","10.0","11","76","3","3","22","1","1.14","15","15","0","0.00","+0.57","Matches"
"621","597","Harun Tekin","tr TUR","GK","Fenerbahçe","31-210","1989","0","","","0.0","0.0","0","","0","0","","12","3.00","2","1","+1","","","Matches"
"622","598","Benjamin Tetteh","gh GHA","FW,MF","Yeni Mal'spor","23-187","1997","14","1,111","79","72.6","12.3","12","85","8","2","45","0","1.21","18","16","+2","+0.16","+1.02","Matches"
"623","599","Thuram","br BRA","FW","Konyaspor","29-347","1991","1","3","3","0.2","0.0","0","","0","1","3","0","1.00","0","0","0","0.00","-0.18","Matches"
"624","600","Mickaël Tirpan","be BEL","MF,DF","Kasimpasa","27-082","1993","16","1,182","74","77.3","13.1","13","83","9","3","36","0","1.19","15","23","-8","-0.61","-0.87","Matches"
"625","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
