Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,23.9,0.00,0.25,0.04,16.7,0.25,0.04,0.00,0.00,6.5,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
42,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,17.0,0.00,1.06,0.24,22.2,1.06,0.23,0.00,0.00,18.4,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,29.3,0.00,0.34,0.10,30.0,0.34,0.10,0.00,0.00,22.7,0.10,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34.0,0.03,0.44,0.09,20.0,0.44,0.09,0.07,0.33,10.5,0.00,0.00,0.00,0.04,0.04,0.08,-0.01,-0.01,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,9.0,0.11,3.22,0.89,27.6,3.21,0.88,0.03,0.13,10.5,0.00,0.00,0.00,0.37,0.37,0.11,-0.26,-0.26,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,19.5,0.15,1.74,0.56,32.4,1.75,0.57,0.09,0.27,18.9,0.36,0.00,0.00,0.15,0.15,0.09,0.01,0.01,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,23.5,0.04,1.02,0.21,20.8,1.02,0.21,0.04,0.20,16.1,0.00,0.00,0.00,0.11,0.11,0.11,-0.07,-0.07,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,19.5,0.00,0.41,0.15,37.5,0.41,0.15,0.00,0.00,17.3,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
50,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24.0,0.04,0.63,0.08,13.3,0.62,0.08,0.07,0.50,22.6,0.13,0.00,0.00,0.04,0.04,0.06,0.00,0.00,Matches
51,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
