Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,1.13,1.12,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
13,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,3.85,3.84,2.57,0.56,0.30,0.15,0.24,0.03,0.41,0.41,0.27,0.03,0.06,0.06,0.00,0.00,0.00,Matches
14,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,1.33,1.33,0.61,0.00,0.20,0.31,0.20,0.00,0.20,0.20,0.00,0.00,0.10,0.10,0.00,0.00,0.00,Matches
15,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,23.4,2.44,2.44,1.54,0.00,0.30,0.26,0.26,0.09,0.38,0.39,0.17,0.00,0.00,0.13,0.09,0.00,0.00,Matches
16,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,15.9,3.52,3.52,2.58,0.19,0.13,0.19,0.38,0.06,0.50,0.50,0.38,0.00,0.00,0.00,0.13,0.00,0.00,Matches
17,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,22.1,2.76,2.76,2.17,0.00,0.18,0.32,0.09,0.00,0.32,0.32,0.27,0.00,0.00,0.05,0.00,0.00,0.00,Matches
18,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,0.08,0.08,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,22.2,1.40,1.40,1.08,0.05,0.05,0.09,0.05,0.09,0.27,0.27,0.23,0.00,0.00,0.05,0.00,0.00,0.00,Matches
20,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,1.75,1.75,1.45,0.00,0.00,0.12,0.18,0.00,0.24,0.24,0.18,0.00,0.00,0.06,0.00,0.00,0.00,Matches
21,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,2.05,2.05,1.45,0.00,0.20,0.17,0.17,0.07,0.40,0.40,0.23,0.00,0.03,0.07,0.07,0.00,0.00,Matches
22,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,6.3,1.43,1.44,1.11,0.16,0.16,0.00,0.00,0.00,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,1.93,1.92,1.28,0.00,0.09,0.46,0.09,0.00,0.18,0.18,0.09,0.00,0.00,0.09,0.00,0.00,0.00,Matches
