Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,28.5,45.5,1.19,5.93,22.1,20.9,1.40,40.7,1.37,2.25,60.9,1.51,0.07,32.6,179.9,82.5,4.21,1.51,0.25,1.51,2.00,34.0,26.4,77.6,4.28,Matches
70,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,32.7,65.1,4.07,16.9,43.4,7.46,0.61,63.4,0.98,1.19,82.1,0.98,0.06,42.3,174.4,83.7,3.21,0.80,0.03,0.43,0.58,41.3,39.3,95.0,1.07,Matches
71,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,5.1,38.6,1.96,3.92,22.0,14.3,4.51,37.3,0.59,1.37,42.9,0.78,0.20,19.8,68.8,22.9,1.37,0.39,0.00,2.75,1.96,53.5,28.0,52.4,6.86,Matches
72,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,30.8,57.7,3.15,15.9,24.7,21.2,1.98,48.9,0.84,1.43,59.1,0.88,0.03,34.2,183.2,106.4,5.06,1.66,0.49,1.04,1.85,37.4,31.0,82.9,3.83,Matches
73,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,34.4,46.7,6.51,25.3,21.8,1.69,0.76,46.1,0.09,0.09,100.0,0.09,0.03,26.5,112.9,50.0,1.25,0.03,0.00,0.09,0.20,26.2,25.4,97.1,0.41,Matches
74,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,7.7,60.4,0.52,6.10,22.1,36.5,5.84,57.3,2.21,3.25,68.0,2.21,0.13,48.1,275.2,150.0,8.57,2.21,1.56,3.51,2.86,65.3,46.6,71.4,13.9,Matches
75,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,6.5,42.3,38.0,42.3,0.00,0.15,0.00,33.7,0.15,0.15,100.0,0.15,0.00,25.4,118.2,51.7,0.00,0.00,0.00,0.00,0.00,20.0,20.0,100.0,0.00,Matches
76,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,3.0,52.0,3.33,12.7,29.0,12.0,1.67,51.3,0.33,1.00,33.3,0.33,0.00,27.0,103.3,41.3,2.33,0.33,0.00,2.00,1.33,33.3,29.3,88.0,3.00,Matches
77,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,28.8,65.8,5.87,21.9,38.0,8.23,1.42,64.9,0.87,1.35,64.1,0.97,0.07,41.3,150.2,70.6,2.26,0.80,0.03,0.63,0.83,43.3,39.8,91.9,1.91,Matches
78,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36.0,75.4,4.17,20.0,35.0,26.9,1.67,63.9,1.03,1.92,53.6,1.22,0.08,46.6,292.9,174.7,7.06,2.75,0.67,1.58,1.75,50.7,45.1,89.0,3.39,Matches
79,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,0.4,55.0,2.50,5.00,20.0,35.0,10.0,55.0,2.50,2.50,100.0,2.50,0.00,50.0,362.5,260.0,12.5,5.00,7.50,2.50,5.00,60.0,47.5,79.2,20.0,Matches
80,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,6.6,48.2,4.39,14.5,26.4,10.3,0.30,46.7,0.30,0.61,50.0,0.30,0.00,30.0,129.7,60.5,1.52,1.21,0.15,0.91,0.76,31.2,26.5,85.0,1.97,Matches
81,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,6.9,73.5,7.10,37.4,40.7,1.01,0.43,71.4,0.00,0.00,,0.00,0.00,51.4,287.1,165.2,3.62,0.43,0.00,0.00,0.14,50.6,50.1,99.1,0.29,Matches
82,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,21.6,68.3,4.77,20.0,30.8,22.5,1.30,57.5,1.39,2.55,54.5,1.44,0.05,41.8,240.6,137.8,7.13,2.41,0.51,0.83,1.57,42.8,38.4,89.6,2.31,Matches
83,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,1.0,42.0,5.00,17.0,27.0,1.00,0.00,42.0,1.00,2.00,50.0,2.00,0.00,26.0,92.0,31.0,1.00,0.00,0.00,1.00,0.00,22.0,21.0,95.5,2.00,Matches
84,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,9.5,41.5,6.32,23.2,17.1,3.05,0.95,40.9,0.00,0.00,,0.00,0.00,20.6,91.6,46.2,1.37,0.53,0.00,0.00,0.00,21.5,20.3,94.6,0.84,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,5.3,53.6,3.40,12.8,29.8,12.5,1.32,51.7,0.19,0.38,50.0,0.19,0.00,30.9,116.6,53.8,1.89,0.19,0.19,0.38,0.75,36.6,31.9,87.1,1.32,Matches
86,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,12.7,55.4,2.76,17.9,24.0,16.2,1.50,46.4,0.47,0.71,66.7,0.47,0.00,30.8,129.3,65.9,2.76,0.94,0.00,0.39,0.71,31.4,28.3,90.0,1.57,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,1.2,87.5,0.00,12.5,50.8,28.3,2.50,67.5,0.00,0.00,,0.00,0.00,49.2,193.3,95.0,5.83,2.50,0.00,0.83,1.67,53.3,48.3,90.6,3.33,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38.0,51.0,8.18,32.6,21.9,0.21,0.08,50.0,0.03,0.05,50.0,0.05,0.00,35.6,222.8,111.0,1.89,0.03,0.00,0.03,0.13,33.7,33.3,98.9,0.03,Matches
89,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1.0,39.0,35.0,39.0,0.00,0.00,0.00,30.0,0.00,0.00,,0.00,0.00,20.0,87.0,40.0,0.00,0.00,0.00,0.00,0.00,18.0,18.0,100.0,0.00,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,28.4,66.7,3.20,19.3,30.8,20.5,1.83,55.3,0.88,1.58,55.6,0.92,0.04,40.2,194.2,96.1,4.54,1.62,0.49,1.41,1.20,41.8,36.2,86.4,3.06,Matches
91,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,8.0,59.1,2.00,15.6,35.5,11.9,0.75,58.3,1.13,1.75,64.3,1.13,0.00,44.4,175.3,86.0,2.75,1.00,0.25,0.63,1.25,41.6,39.8,95.5,1.88,Matches
92,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31.0,63.0,8.65,35.5,26.1,4.71,1.13,58.5,0.13,0.16,80.0,0.13,0.00,33.9,191.6,99.5,2.00,0.39,0.03,0.19,0.06,36.2,35.3,97.5,0.97,Matches
93,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,36.8,45.7,2.80,9.29,29.8,9.02,1.06,45.5,0.73,1.06,69.2,0.79,0.00,30.2,128.2,48.9,1.98,0.76,0.03,0.79,1.14,31.0,27.1,87.4,2.26,Matches
94,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,14.9,47.1,0.54,4.83,19.7,27.2,2.68,46.2,1.81,3.22,56.3,2.21,0.07,40.1,232.7,132.0,6.91,2.42,0.87,2.55,3.96,53.4,35.8,67.0,8.86,Matches
