Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
23,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,10.9,0.09,0.00,0.00,1.28,1.65,0.83,0.18,0.28,0.46,0.00,0.00,0.00,4.59,2.48,4.68,34.6,Matches
24,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,0.23,0.00,0.00,2.44,1.91,0.69,0.76,0.53,2.14,0.00,0.00,0.00,4.43,2.14,5.11,29.5,Matches
25,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,5.3,0.00,0.00,0.00,1.13,1.32,0.75,0.94,0.94,1.13,0.00,0.00,0.00,8.87,0.94,0.94,50.0,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,0.11,0.00,0.00,1.06,0.40,0.05,2.41,0.93,1.48,0.03,0.03,0.00,10.9,1.22,0.98,55.4,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,13.9,0.22,0.00,0.00,1.08,1.15,0.65,1.22,0.79,0.50,0.00,0.00,0.00,4.75,0.65,1.01,39.1,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,15.7,0.25,0.00,0.00,2.17,1.40,0.06,0.83,1.78,1.66,0.00,0.06,0.00,11.7,1.02,1.21,45.7,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,6.2,0.32,0.00,0.00,2.10,0.48,0.00,0.65,2.10,1.45,0.00,0.00,0.00,12.4,0.97,0.97,50.0,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,0.00,0.14,0.00,0.70,0.70,0.00,0.14,1.13,0.99,0.00,0.14,0.00,9.86,1.55,0.42,78.6,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,4.2,0.00,0.00,0.00,0.48,0.24,0.24,1.90,0.71,0.95,0.00,0.24,0.00,7.38,0.24,0.48,33.3,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,22.4,0.09,0.00,0.00,0.85,0.22,0.00,0.00,1.70,1.21,0.00,0.04,0.00,9.91,2.14,2.10,50.5,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,6.6,0.30,0.00,0.00,0.76,0.30,0.15,0.00,1.21,1.06,0.00,0.15,0.00,9.24,1.97,0.76,72.2,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,0.25,0.00,0.00,1.27,0.47,0.11,0.11,2.33,1.24,0.00,0.04,0.00,11.5,2.76,0.98,73.8,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,18.6,0.48,0.00,0.00,1.18,0.59,0.00,1.18,1.34,1.02,0.00,0.00,0.05,10.2,1.72,1.02,62.7,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,13.8,0.07,0.00,0.00,1.01,1.96,0.00,0.87,0.72,0.80,0.00,0.00,0.00,9.86,1.09,0.36,75.0,Matches
37,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,28,1989,26.5,0.30,0.00,0.00,2.00,2.45,0.87,0.49,0.15,0.53,0.04,0.00,0.04,5.06,2.79,6.87,28.9,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,11.2,0.00,0.00,0.00,0.63,0.63,0.18,2.59,0.09,0.36,0.00,0.00,0.00,5.80,0.36,0.54,40.0,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,8.3,0.00,0.00,0.00,0.84,0.24,1.57,0.36,0.60,0.12,0.00,0.00,0.00,6.02,1.20,3.01,28.6,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,23.9,0.29,0.00,0.00,0.92,0.29,0.00,0.04,2.18,1.17,0.00,0.00,0.00,12.0,2.89,2.18,57.0,Matches
42,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24.0,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.00,0.00,,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,17.0,0.18,0.00,0.00,0.94,0.41,0.12,2.29,0.65,0.53,0.00,0.00,0.06,9.00,0.82,0.94,46.7,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,29.3,0.17,0.00,0.00,0.72,1.19,0.03,0.89,1.26,0.92,0.00,0.00,0.00,10.1,0.85,0.38,69.4,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34.0,0.35,0.00,0.00,1.09,0.32,0.03,0.12,0.71,1.06,0.00,0.06,0.00,9.65,2.47,1.82,57.5,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,9.0,0.11,0.00,0.00,2.00,1.00,1.11,0.22,0.00,0.44,0.00,0.00,0.00,4.22,8.22,5.22,61.2,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,19.5,0.10,0.00,0.00,0.51,1.13,0.10,3.33,1.38,0.72,0.00,0.00,0.00,7.44,0.82,1.08,43.2,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,23.5,0.21,0.00,0.00,0.72,1.15,0.09,1.87,1.32,1.36,0.00,0.00,0.00,8.47,0.09,0.47,15.4,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,19.5,0.21,0.00,0.00,0.92,1.23,0.10,1.18,1.74,2.00,0.00,0.00,0.00,11.0,1.95,1.38,58.5,Matches
