Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
304,James McCarthy\James-McCarthy,ie IRL,MF,Everton,27,1990,0.2,35.0,40.0,87.5,535.0,55.0,15.0,15.0,100.0,10.0,10.0,100.0,5.00,5.00,100.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,Matches
305,Kevin McDonald\Kevin-McDonald,sco SCO,MF,Fulham,29,1988,9.3,52.0,61.0,85.4,990.1,257.4,22.3,24.3,91.6,21.6,24.3,88.9,7.53,11.4,66.0,0.00,0.01,-0.01,0.32,4.95,0.00,0.00,3.76,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MFFW,Burnley,18,1999,17.7,21.6,33.0,65.6,394.0,127.2,11.1,13.4,82.8,7.06,9.72,72.7,2.99,7.51,39.8,0.28,0.19,0.10,1.53,1.41,1.13,0.79,1.64,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MFDF,Manchester Utd,21,1996,9.6,40.3,47.4,85.1,722.6,204.2,18.5,20.1,92.2,16.6,19.3,85.9,4.69,7.08,66.2,0.00,0.00,0.00,0.10,3.44,0.10,0.00,2.92,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,28,1989,38.0,29.4,39.1,75.4,719.4,284.5,7.45,9.08,82.0,13.3,15.6,85.8,8.50,13.8,61.8,0.05,0.03,0.02,0.24,3.21,0.13,0.03,2.42,Matches
309,Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,eng ENG,MFFW,Cardiff City,26,1992,10.9,15.9,26.1,60.9,245.1,106.1,9.72,12.9,75.2,4.68,7.43,63.0,1.19,2.94,40.6,0.09,0.14,-0.05,1.83,1.38,0.92,0.55,2.66,Matches
310,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,24,1994,10.0,66.8,79.1,84.5,1196.2,386.1,27.3,30.1,90.7,33.4,37.8,88.4,5.60,9.90,56.6,0.50,0.13,0.37,1.20,5.40,2.70,1.10,8.50,Matches
311,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,26,1992,23.2,41.8,47.7,87.6,732.9,165.0,19.2,21.1,91.0,17.8,19.4,92.0,4.27,6.03,70.7,0.00,0.01,-0.01,0.26,4.09,0.22,0.13,3.28,Matches
312,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,20,1997,9.4,34.5,41.6,82.9,729.8,236.7,9.57,10.6,90.0,19.1,22.0,87.0,5.53,8.40,65.8,0.11,0.00,0.11,0.00,1.81,0.00,0.00,2.34,Matches
313,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,22,1995,15.7,36.1,44.4,81.2,538.4,137.2,20.6,23.7,87.1,12.5,14.8,84.9,2.17,3.95,54.8,0.13,0.08,0.05,1.46,2.87,0.83,0.13,3.18,Matches
